task,seed,condition,fold_i,fold_j,fc_alpha_i,fc_alpha_j,sc_alpha_i,sc_alpha_j,prediction_correlation
working_memory,6,R3,0,1,100.0,100.0,100.0,100.0,0.06807019016833885
working_memory,6,R3,0,2,100.0,100.0,100.0,100.0,0.12761071385814263
working_memory,6,R3,0,3,100.0,100.0,100.0,100.0,0.16875088429599155
working_memory,6,R3,0,4,100.0,100.0,100.0,100.0,0.14972627637922964
working_memory,6,R3,1,2,100.0,100.0,100.0,100.0,0.09820311054516168
working_memory,6,R3,1,3,100.0,100.0,100.0,100.0,0.16380971038626052
working_memory,6,R3,1,4,100.0,100.0,100.0,100.0,0.14939976709004038
working_memory,6,R3,2,3,100.0,100.0,100.0,100.0,-0.0004897639337839162
working_memory,6,R3,2,4,100.0,100.0,100.0,100.0,0.18357440602518477
working_memory,6,R3,3,4,100.0,100.0,100.0,100.0,0.20764902428140747
working_memory,7,R0,0,1,100.0,100.0,100.0,100.0,-0.0010494941438226773
working_memory,7,R0,0,2,100.0,100.0,100.0,100.0,-0.22249431329654662
working_memory,7,R0,0,3,100.0,100.0,100.0,100.0,-0.16986101587923513
working_memory,7,R0,0,4,100.0,100.0,100.0,100.0,0.07795953461542647
working_memory,7,R0,1,2,100.0,100.0,100.0,100.0,0.014116084935949763
working_memory,7,R0,1,3,100.0,100.0,100.0,100.0,-0.047964214581904856
working_memory,7,R0,1,4,100.0,100.0,100.0,100.0,0.23152773696411663
working_memory,7,R0,2,3,100.0,100.0,100.0,100.0,-0.029440254241899846
working_memory,7,R0,2,4,100.0,100.0,100.0,100.0,0.12027513849435684
working_memory,7,R0,3,4,100.0,100.0,100.0,100.0,-0.07173409083488426
working_memory,7,R1,0,1,100.0,100.0,100.0,100.0,-0.042987280130976864
working_memory,7,R1,0,2,100.0,100.0,100.0,100.0,-0.1791338796922106
working_memory,7,R1,0,3,100.0,100.0,100.0,100.0,-0.14720127120949925
working_memory,7,R1,0,4,100.0,100.0,100.0,100.0,0.06381079875055778
working_memory,7,R1,1,2,100.0,100.0,100.0,100.0,0.100314537281919
working_memory,7,R1,1,3,100.0,100.0,100.0,100.0,-0.023563087036492854
working_memory,7,R1,1,4,100.0,100.0,100.0,100.0,0.22497578389438513
working_memory,7,R1,2,3,100.0,100.0,100.0,100.0,-0.07954854648948097
working_memory,7,R1,2,4,100.0,100.0,100.0,100.0,0.11004451409975947
working_memory,7,R1,3,4,100.0,100.0,100.0,100.0,-0.07097223582677593
working_memory,7,R2,0,1,100.0,100.0,100.0,100.0,0.003148482431468032
working_memory,7,R2,0,2,100.0,100.0,100.0,100.0,-0.21448395206843635
working_memory,7,R2,0,3,100.0,100.0,100.0,100.0,-0.155451072583015
working_memory,7,R2,0,4,100.0,100.0,100.0,100.0,0.06576985448569346
working_memory,7,R2,1,2,100.0,100.0,100.0,100.0,0.01740294511378849
working_memory,7,R2,1,3,100.0,100.0,100.0,100.0,0.011264570477030071
working_memory,7,R2,1,4,100.0,100.0,100.0,100.0,0.21180657589708426
working_memory,7,R2,2,3,100.0,100.0,100.0,100.0,-0.010546250040813662
working_memory,7,R2,2,4,100.0,100.0,100.0,100.0,0.09913910384083761
working_memory,7,R2,3,4,100.0,100.0,100.0,100.0,-0.083597261675428
working_memory,7,R3,0,1,100.0,100.0,100.0,100.0,-0.04323915872549431
working_memory,7,R3,0,2,100.0,100.0,100.0,100.0,-0.18135414285869766
working_memory,7,R3,0,3,100.0,100.0,100.0,100.0,-0.1381460802559833
working_memory,7,R3,0,4,100.0,100.0,100.0,100.0,0.030615687682981247
working_memory,7,R3,1,2,100.0,100.0,100.0,100.0,0.08187764608569781
working_memory,7,R3,1,3,100.0,100.0,100.0,100.0,0.03398961700460378
working_memory,7,R3,1,4,100.0,100.0,100.0,100.0,0.2714489393889923
working_memory,7,R3,2,3,100.0,100.0,100.0,100.0,-0.11790250432624809
working_memory,7,R3,2,4,100.0,100.0,100.0,100.0,0.14284781402030888
working_memory,7,R3,3,4,100.0,100.0,100.0,100.0,-0.007259389862974935
working_memory,8,R0,0,1,100.0,100.0,100.0,100.0,0.09304815079131858
working_memory,8,R0,0,2,100.0,0.001,100.0,100.0,0.18505458146950948
working_memory,8,R0,0,3,100.0,0.001,100.0,100.0,-0.2588021462543943
working_memory,8,R0,0,4,100.0,100.0,100.0,100.0,0.14067108542571372
working_memory,8,R0,1,2,100.0,0.001,100.0,100.0,0.20303435966086572
working_memory,8,R0,1,3,100.0,0.001,100.0,100.0,-0.014747336228382367
working_memory,8,R0,1,4,100.0,100.0,100.0,100.0,-0.09480741393759319
working_memory,8,R0,2,3,0.001,0.001,100.0,100.0,-0.025108564338655437
working_memory,8,R0,2,4,0.001,100.0,100.0,100.0,0.01614044252892328
working_memory,8,R0,3,4,0.001,100.0,100.0,100.0,-0.1548633558624743
working_memory,8,R1,0,1,100.0,100.0,100.0,100.0,0.06131144788212082
working_memory,8,R1,0,2,100.0,0.001,100.0,100.0,0.13960448841436207
