task,seed,fold,model,pearson,rmse,mae,eta,expert_pearson,expert_rmse,expert_mae,selected_top_k,selected_alpha,selected_ratio,prior_type
FI,3131,3,A4,0.33778592923601125,4.653320120225274,3.8199899714790777,0.0,-0.10998519983825672,4.855017333021563,4.249301556141415,5.0,1000.0,1.0,A4
FI,3131,3,A5,0.33776410557204845,4.628868859847536,3.8181683584189527,0.05,0.012909563682999987,4.834756809493189,4.225791843550948,15.0,1000.0,1.0,A5
FI,3131,3,A6,0.33778592923601125,4.653320120225274,3.8199899714790777,0.0,-0.015665594038641827,4.841485046554904,4.233658071295512,25.0,1000.0,1.0,A6
FI,3131,4,A0,0.35909393296819403,4.736251782445448,3.915165122765496,,,,,,,,matched
FI,3131,4,A1,0.35909393296819403,4.736251782445448,3.915165122765496,0.0,0.012847992402076087,5.459739203213044,4.3603485927852965,,,,matched
FI,3131,4,A2,0.3639808446677453,4.746177945952183,3.8761270441952664,0.25,0.04428098098176703,5.065069207130928,4.068555798765484,5.0,,,matched
FI,3131,4,A3,0.36473264353387796,4.754151543116824,3.870560141848494,0.30000000000000004,0.04428098098176703,5.065069207130928,4.068555798765484,5.0,100.0,0.0,A3
FI,3131,4,A4,0.36473264353387796,4.754151543116824,3.870560141848494,0.30000000000000004,0.04428098098176703,5.065069207130928,4.068555798765484,5.0,100.0,0.0,A4
FI,3131,4,A5,0.3592646017204446,4.751811149781253,3.8928527232067562,0.2,0.0462274820470058,5.2946572702653905,4.10370082605285,25.0,0.001,0.0,A5
FI,3131,4,A6,0.35948665639213756,4.736697189174787,3.911605904797501,0.05,0.008299808017567047,5.300603659548508,4.259188224380733,25.0,0.001,0.0,A6
FI,3232,0,A0,0.36195128439705226,4.5404103324068785,3.853976455581564,,,,,,,,matched
FI,3232,0,A1,0.3621133473159689,4.54114818824244,3.8610826133389082,0.1,0.03848190183976729,5.09507821600436,4.3170424386064274,,,,matched
FI,3232,0,A2,0.33617015025987684,4.586712366666583,3.9090925324401398,0.25,-0.01814778325134285,5.123686649170163,4.25275047420709,25.0,,,matched
FI,3232,0,A3,0.33617015025987684,4.586712366666583,3.9090925324401398,0.25,-0.01814778325134285,5.123686649170163,4.25275047420709,25.0,0.001,0.0,A3
FI,3232,0,A4,0.33617015025987684,4.586712366666583,3.9090925324401398,0.25,-0.01814778325134285,5.123686649170163,4.25275047420709,25.0,0.001,0.0,A4
FI,3232,0,A5,0.34962673712054626,4.566931823175781,3.8818337612701534,0.30000000000000004,0.07365385973493264,4.9798431792382685,4.164942023122698,25.0,0.001,0.0,A5
FI,3232,0,A6,0.3288245285828074,4.592849816551699,3.9114253752035877,0.25,-0.03438118306876692,5.118877748053356,4.275547126667508,25.0,1.0,0.1,A6
FI,3232,1,A0,0.47292605532782495,4.563817101838083,3.698420175082996,,,,,,,,matched
FI,3232,1,A1,0.4738547355698545,4.571996792504729,3.7084796488278546,0.05,-0.03573532530192226,5.754028125874474,4.754405055706908,,,,matched
FI,3232,1,A2,0.47292605532782495,4.563817101838083,3.698420175082996,0.0,-0.06165265664859251,5.275425055216747,4.454489244605852,25.0,,,matched
FI,3232,1,A3,0.47292605532782495,4.563817101838083,3.698420175082996,0.0,-0.049889493448227226,5.369337788367245,4.505419712486282,25.0,10.0,1.0,A3
FI,3232,1,A4,0.47292605532782495,4.563817101838083,3.698420175082996,0.0,-0.049889493448227226,5.369337788367245,4.505419712486282,25.0,10.0,1.0,A4
FI,3232,1,A5,0.47734169672177607,4.595201510727732,3.744887703419461,0.15000000000000002,0.007016436306329012,5.382177624497912,4.451871722576301,25.0,0.001,1.0,A5
FI,3232,1,A6,0.47064310153178524,4.601897989114383,3.7424020795009114,0.15000000000000002,-0.07224746016964317,5.240025377178207,4.3184440069958265,10.0,0.001,0.0,A6
