edge_index,roi_i_0based,roi_j_0based,roi_i_1based,roi_j_1based,mean_signed_coef,mean_abs_coef,median_abs_coef,rank_mean_abs,roi_i_name,roi_j_name,top10_frequency,top20_frequency,top50_frequency,sign_consistency
1487,13,84,14,85,0.09703940734320897,0.09703940734320897,0.07252949146329733,83,Frontal_Inf_Tri_R,Temporal_Mid_L,0.0,0.02,0.14,1.0
1383,12,82,13,83,0.09643017171370348,0.09643017171370348,0.08321950464189934,84,Frontal_Inf_Tri_L,Temporal_Pole_Sup_L,0.0,0.0,0.12,1.0
2647,25,98,26,99,0.09640880528419966,0.09640880528419966,0.09757139994339754,85,Frontal_Med_Orb_R,Cerebelum_6_L,0.0,0.0,0.04,1.0
6401,92,100,93,101,0.09594678073154755,0.09594678073154755,0.08114807158091258,86,Cerebelum_Crus2_L,Cerebelum_7b_L,0.0,0.02,0.1,1.0
539,4,90,5,91,-0.09556604759240585,0.09556604759240585,0.07712779334759953,87,Frontal_Sup_Orb_L,Cerebelum_Crus1_L,0.0,0.0,0.12,1.0
1962,18,64,19,65,0.09547326841121512,0.09547326841121512,0.06756741539126226,88,Supp_Motor_Area_L,Angular_L,0.0,0.08,0.28,1.0
645,5,86,6,87,-0.09496903535933403,0.09496903535933403,0.08070809098389667,89,Frontal_Sup_Orb_R,Temporal_Pole_Mid_L,0.0,0.0,0.08,1.0
549,4,100,5,101,0.09484974082608376,0.09484974082608376,0.09197584267887313,90,Frontal_Sup_Orb_L,Cerebelum_7b_L,0.0,0.0,0.12,1.0
2884,28,71,29,72,0.09482479254473103,0.09482479254473103,0.0809566178370612,91,Insula_L,Caudate_R,0.0,0.0,0.04,1.0
6517,98,99,99,100,0.09475889725511984,0.09475889725511984,0.07342486266223089,92,Cerebelum_6_L,Cerebelum_6_R,0.02,0.02,0.1,1.0
619,5,60,6,61,-0.09389599818850299,0.09405648163533524,0.06277791815017102,93,Frontal_Sup_Orb_R,Parietal_Inf_L,0.0,0.02,0.06,0.98
1927,18,29,19,30,-0.09400463619240573,0.09400463619240573,0.07913485907059051,94,Supp_Motor_Area_L,Insula_R,0.0,0.0,0.02,1.0
2832,27,106,28,107,-0.09379314239434101,0.09379314239434101,0.08545858423120645,95,Rectus_R,Cerebelum_10_L,0.0,0.0,0.1,1.0
892,8,9,9,10,0.0935609565090927,0.0935609565090927,0.08146503272571032,96,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,0.0,0.0,0.04,1.0
5359,64,80,65,81,0.0935371320286712,0.0935371320286712,0.0775911750379566,97,Angular_L,Temporal_Sup_L,0.02,0.06,0.3,1.0
5154,60,85,61,86,-0.0927982478005218,0.09326950992303613,0.07162336601952504,98,Parietal_Inf_L,Temporal_Mid_R,0.0,0.0,0.06,0.98
5913,76,100,77,101,-0.09324495556895504,0.09324495556895504,0.0854724678155821,99,Thalamus_L,Cerebelum_7b_L,0.0,0.06,0.08,1.0
647,5,88,6,89,-0.09298882412490611,0.09298882412490611,0.09037539561179066,100,Frontal_Sup_Orb_R,Temporal_Inf_L,0.0,0.0,0.02,1.0
5955,77,104,78,105,0.09291366010041992,0.09291366010041992,0.10344380143717066,101,Thalamus_R,Cerebelum_9_L,0.0,0.0,0.0,1.0
3175,31,107,32,108,0.0927857880153421,0.0927857880153421,0.06995443750356031,102,Cingulum_Ant_R,Cerebelum_10_R,0.0,0.0,0.12,1.0
3634,37,83,38,84,0.0926949149965964,0.0926949149965964,0.08487672172968147,103,Hippocampus_R,Temporal_Pole_Sup_R,0.0,0.0,0.02,1.0
6187,84,98,85,99,0.0919658414961971,0.09241740940209954,0.0820716409122823,104,Temporal_Mid_L,Cerebelum_6_L,0.0,0.04,0.16,0.98
1388,12,87,13,88,0.09238760267063455,0.09238760267063455,0.0859053607879913,105,Frontal_Inf_Tri_L,Temporal_Pole_Mid_R,0.0,0.04,0.16,1.0
1503,13,100,14,101,-0.09231130271711457,0.09231130271711457,0.09362354102655371,106,Frontal_Inf_Tri_R,Cerebelum_7b_L,0.0,0.0,0.1,1.0
1490,13,87,14,88,0.09119260993034856,0.09119260993034856,0.09299619745333196,107,Frontal_Inf_Tri_R,Temporal_Pole_Mid_R,0.0,0.0,0.08,1.0
6328,89,99,90,100,0.09069609865517272,0.09069609865517272,0.08766743037571158,108,Temporal_Inf_R,Cerebelum_6_R,0.0,0.0,0.12,1.0
544,4,95,5,96,-0.09029629590272759,0.09049272292459153,0.0659422678101568,109,Frontal_Sup_Orb_L,Cerebelum_3_R,0.0,0.0,0.1,0.96
6076,81,83,82,84,0.09016541664055179,0.09016541664055179,0.08061273609356054,110,Temporal_Sup_R,Temporal_Pole_Sup_R,0.0,0.0,0.02,1.0
5161,60,92,61,93,-0.08944877663688239,0.08980450861949524,0.08178531016809759,111,Parietal_Inf_L,Cerebelum_Crus2_L,0.02,0.06,0.12,0.98
5825,74,91,75,92,0.08977673890731222,0.08977673890731222,0.08472343204950394,112,Pallidum_L,Cerebelum_Crus1_R,0.0,0.0,0.12,1.0
6283,87,107,88,108,-0.08966085279210972,0.08966085279210972,0.06164161260810894,113,Temporal_Pole_Mid_R,Cerebelum_10_R,0.0,0.0,0.06,1.0
5328,63,100,64,101,-0.08959144449939294,0.08959144449939294,0.06872229776046096,114,SupraMarginal_R,Cerebelum_7b_L,0.0,0.0,0.14,1.0
1485,13,82,14,83,0.08950923128901915,0.08950923128901915,0.07324919465335208,115,Frontal_Inf_Tri_R,Temporal_Pole_Sup_L,0.0,0.0,0.1,1.0
6377,91,99,92,100,0.08928465676761442,0.08928465676761442,0.07282997965313295,116,Cerebelum_Crus1_R,Cerebelum_6_R,0.0,0.02,0.12,1.0
5319,63,91,64,92,-0.08875332105758355,0.08903675263326483,0.057906937095274974,117,SupraMarginal_R,Cerebelum_Crus1_R,0.0,0.02,0.06,0.98
5686,71,78,72,79,0.08899212465959119,0.08899212465959119,0.09129554448037037,118,Caudate_R,Heschl_L,0.0,0.0,0.02,1.0
1361,12,60,13,61,-0.085909339938494,0.08867300098516116,0.05502910450825842,119,Frontal_Inf_Tri_L,Parietal_Inf_L,0.06,0.12,0.26,0.94
2362,22,86,23,87,-0.08866564108687239,0.08866564108687239,0.09304079151014039,120,Frontal_Sup_Medial_L,Temporal_Pole_Mid_L,0.0,0.0,0.02,1.0
530,4,81,5,82,-0.08866356886059137,0.08866356886059137,0.089562642159633,121,Frontal_Sup_Orb_L,Temporal_Sup_R,0.0,0.02,0.04,1.0
5688,71,80,72,81,0.08846843295768433,0.08846843295768433,0.06816808635812775,122,Caudate_R,Temporal_Sup_L,0.0,0.0,0.04,1.0
3144,31,76,32,77,-0.08765064476227305,0.08835557455506607,0.059700884720768524,123,Cingulum_Ant_R,Thalamus_L,0.0,0.02,0.1,0.94
6327,89,98,90,99,0.08833708811582797,0.08833708811582797,0.09774375388083115,124,Temporal_Inf_R,Cerebelum_6_L,0.0,0.0,0.06,1.0
3071,30,87,31,88,-0.08801888450139801,0.08801888450139801,0.08722649886341477,125,Cingulum_Ant_L,Temporal_Pole_Mid_R,0.0,0.0,0.06,1.0
6625,106,107,107,108,-0.0877878648912977,0.0877878648912977,0.056681956878252115,126,Cerebelum_10_L,Cerebelum_10_R,0.02,0.06,0.08,1.0
5362,64,83,65,84,0.08740445592681319,0.08740445592681319,0.07100306665608493,127,Angular_L,Temporal_Pole_Sup_R,0.0,0.06,0.16,1.0
6109,82,83,83,84,0.08720493748399681,0.08720493748399681,0.09096122375357282,128,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,0.0,0.0,0.08,1.0
567,5,8,6,9,0.08656664864744328,0.08706810721052827,0.0768856160953166,129,Frontal_Sup_Orb_R,Frontal_Mid_Orb_L,0.0,0.0,0.1,0.98
2655,25,106,26,107,0.08695591686437602,0.08695591686437602,0.08290164083111959,130,Frontal_Med_Orb_R,Cerebelum_10_L,0.0,0.0,0.0,1.0
3072,30,88,31,89,-0.08674920665069219,0.08674920665069219,0.0809095439733863,131,Cingulum_Ant_L,Temporal_Inf_L,0.0,0.02,0.02,1.0
6301,88,98,89,99,0.08667606399055307,0.08667606399055307,0.06713382466574222,132,Temporal_Inf_L,Cerebelum_6_L,0.0,0.02,0.06,1.0
