target,condition,condition_display,seed,fp_pearson,fp_rmse,fp_mae,sc_pearson,sc_rmse,sc_mae,fused_pearson,fused_rmse,fused_mae,equal_weight_pearson,equal_weight_rmse,equal_weight_mae
fluid_intelligence,R1,Anisotropy only,5,0.2540967721957983,4.911369076580329,4.034814046929414,0.34703719162647617,4.662324024688283,3.8109217376321993,0.3629459116254279,4.576292154261543,3.7945608071859427,0.3731276290626605,4.5649518280350385,3.819093093289806
fluid_intelligence,R1,Anisotropy only,6,0.2412848908330801,4.914548471781887,4.12238300601315,0.3621919414565111,4.612943940034265,3.7957606329021303,0.38021061706829296,4.535626901471454,3.760366090083938,0.3808314594707073,4.527847103481996,3.799342114070805
fluid_intelligence,R1,Anisotropy only,7,0.21621772022835078,5.232764436193857,4.34589272661007,0.35389476869857084,4.6514411123257275,3.824191022591151,0.36704505507165097,4.567802983946767,3.7882179616280474,0.3395721612358647,4.6557344534350396,3.871278909699835
fluid_intelligence,R1,Anisotropy only,8,0.20052386592475013,5.057303210485066,4.144696552650465,0.35144853024421724,4.686512143145173,3.872732756020117,0.3453442496509476,4.652790708072585,3.8500349498820854,0.3526135681378392,4.630402518253429,3.844532016551664
fluid_intelligence,R1,Anisotropy only,9,0.23766777754385376,4.8042794431711435,4.024820144094732,0.40172957265307047,4.55476751260316,3.7428414226453435,0.41776669750544615,4.474818425018139,3.7300395762035414,0.41479162977735246,4.490457413239048,3.767986461583118
fluid_intelligence,R2,Network penalty only,0,0.21238604269680866,4.972715723373705,4.118962463429952,0.3620121335899672,4.62154437281057,3.7770702322919605,0.3735147821533201,4.541036701914554,3.764737388452393,0.36743995822271147,4.559966662886654,3.803376919510753
fluid_intelligence,R2,Network penalty only,1,0.22587120286944073,5.001080063991587,4.191418000629885,0.33607779628559686,4.695048806141758,3.852693233049821,0.34336790317086263,4.640684276438234,3.8493390408184176,0.3622165562583291,4.58976483796951,3.8425743453508057
fluid_intelligence,R2,Network penalty only,2,0.2421053277531157,4.931247840342813,4.143558963053071,0.3784823211357158,4.5928199499156435,3.7646894666522974,0.40443886072788987,4.499857664759614,3.7473045779376286,0.3964885971109243,4.52612355973082,3.8130285829730246
fluid_intelligence,R2,Network penalty only,3,0.19787786166969318,4.874201913693286,4.109229098624096,0.32760127202350914,4.708466792905002,3.834383491416591,0.3432581446409618,4.631313631726811,3.7979664168386025,0.3450815269338185,4.605863642985464,3.8478465756555713
fluid_intelligence,R2,Network penalty only,4,0.22467872683321652,4.9394609459672925,4.089973912380515,0.35088912639939845,4.643919353523344,3.826758546751492,0.36054687368524163,4.58844883114035,3.8059203251646685,0.3693255959268378,4.5500702977355845,3.8155467508050216
fluid_intelligence,R2,Network penalty only,5,0.22023112486234614,4.936379681561323,4.032493875749838,0.34703719162647617,4.662324024688283,3.8109217376321993,0.36992659053777566,4.566253288033307,3.7904452362591834,0.3675133725464984,4.569193239417032,3.8114610738797388
fluid_intelligence,R2,Network penalty only,6,0.2011359469933888,4.9144610520184315,4.129535780102326,0.3621919414565111,4.612943940034265,3.7957606329021303,0.37662984825893736,4.534330570913437,3.767621795915862,0.3713726895347438,4.5411026923173,3.8087039297149827
