task,seed,outer_fold,model,pearson,rmse,mae,selected_lambda,selected_r_A,selected_r_S,n_semantic_edges,n_generic_edges,fused_pearson,fused_rmse,fused_mae
working_memory,707,3,joint_baseline,0.2931911563657279,11.515793098050315,9.44170996935245,100.0,1.0,10.0,1105,5565,,,
working_memory,707,3,palf_mpr,0.26813740353582644,11.781083038976973,9.635350075982107,100.0,0.5,10.0,1105,5565,,,
working_memory,707,3,late_fusion_reference,0.3514183523312747,10.913760605403535,9.116747129874643,,,,1105,5565,0.4031683159138414,10.531206344045295,8.637902257457553
working_memory,707,4,joint_baseline,0.23617341530221228,11.866727741142327,9.62266832623419,100.0,1.0,10.0,1105,5565,,,
working_memory,707,4,palf_mpr,0.23617341530221228,11.866727741142327,9.62266832623419,100.0,1.0,10.0,1105,5565,,,
working_memory,707,4,late_fusion_reference,0.2439946336147964,11.480170743105726,9.224964578852,,,,1105,5565,0.23968477430552043,11.219821248828383,8.905409836356881
working_memory,808,0,joint_baseline,0.3284015620461521,10.582577932968958,8.469391290270314,100.0,1.0,10.0,1105,5565,,,
working_memory,808,0,palf_mpr,0.3284015620461521,10.582577932968958,8.469391290270314,100.0,1.0,10.0,1105,5565,,,
working_memory,808,0,late_fusion_reference,0.2656545583761145,10.585270085706572,8.59298601539751,,,,1105,5565,0.2991653607019793,10.452018977582007,8.414763241601342
working_memory,808,1,joint_baseline,0.2906894040081027,12.478316734205265,10.110380098949095,100.0,1.0,4.0,1105,5565,,,
working_memory,808,1,palf_mpr,0.18345622029998643,13.096153838133047,10.456115718464519,100.0,0.1,0.25,1105,5565,,,
working_memory,808,1,late_fusion_reference,0.3834046324517393,11.731826501066298,9.480635754110466,,,,1105,5565,0.3338778385338609,11.990998420614716,9.583575565145496
working_memory,808,2,joint_baseline,0.3169410939407006,11.622304044089955,9.589177847265997,100.0,1.0,10.0,1105,5565,,,
working_memory,808,2,palf_mpr,0.3169410939407006,11.622304044089955,9.589177847265997,100.0,1.0,10.0,1105,5565,,,
working_memory,808,2,late_fusion_reference,0.33071287190790244,11.194430146045054,9.331776305127518,,,,1105,5565,0.35043163124324617,10.90839666148316,9.241248456002664
working_memory,808,3,joint_baseline,0.21876688898954683,12.230988007965674,9.410219986907139,100.0,1.0,4.0,1105,5565,,,
working_memory,808,3,palf_mpr,0.1915565637154243,12.857546908536252,9.824307865920678,100.0,0.1,2.0,1105,5565,,,
working_memory,808,3,late_fusion_reference,0.17066277884652264,11.20183465253644,8.756194907877616,,,,1105,5565,0.17138338053963856,11.173683196226527,8.784834619710823
working_memory,808,4,joint_baseline,0.2662458692907011,11.504309988265867,9.553935783913646,100.0,1.0,10.0,1105,5565,,,
working_memory,808,4,palf_mpr,0.23746379108030272,12.01751520880057,9.714773333603839,100.0,0.1,2.0,1105,5565,,,
working_memory,808,4,late_fusion_reference,0.30685977881088944,10.814860723568843,9.067395885492656,,,,1105,5565,0.27838552088110546,10.624008963909564,8.929991073897193
fluid_intelligence,505,0,joint_baseline,0.3379202521760071,4.9200999245674355,4.0754025810789845,100.0,1.0,0.1,1105,5565,,,
fluid_intelligence,505,0,palf_mpr,0.3379202521760071,4.9200999245674355,4.0754025810789845,100.0,1.0,0.1,1105,5565,,,
fluid_intelligence,505,0,late_fusion_reference,0.3217802851414473,4.913157132961094,4.306592404752293,,,,1105,5565,0.3155128812886889,4.921017179381616,4.12667100900778
