seed,fold,task,prior_type,mask_family,mask_size,lambda_r,laplacian_ratio,expert_w_fc,expert_w_sc,alpha,ncr_final_r,ridge_final_r,baseline_r
1515,2,FI,random,roi_incident,15,100.0,0.0,0.25,0.75,0.1,0.48570530369167403,0.48425450881721543,0.4744774715182187
1515,3,WM,matched,roi_incident,15,1000.0,0.0,0.65,0.35,0.0,0.16669877510890466,0.1676864549634219,0.16669877510890466
1515,3,WM,cross_task,roi_incident,5,1000.0,0.0,0.8,0.19999999999999996,0.15,0.16806036015583076,0.16713439161215457,0.16669877510890466
1515,3,WM,shuffled,roi_incident,15,0.1,1.0,0.3,0.7,0.0,0.16669877510890466,0.16669877510890466,0.16669877510890466
1515,3,WM,random,direct_topk,600,10.0,0.0,0.75,0.25,0.15,0.1841019513256599,0.18831036546894517,0.16669877510890466
1515,3,FI,matched,roi_incident,15,1000.0,0.0,0.0,1.0,0.1,0.4886887832342923,0.48868878323429243,0.46627619048657887
1515,3,FI,cross_task,roi_incident,15,1000.0,0.0,0.05,0.95,0.1,0.47289624510298345,0.4703125335634226,0.46627619048657887
1515,3,FI,shuffled,direct_topk,1200,0.1,1.0,0.35,0.65,0.1,0.4706706917430178,0.4682768341062984,0.46627619048657887
1515,3,FI,random,direct_topk,600,100.0,0.0,0.05,0.95,0.7,0.4407682604624259,0.440768260462426,0.46627619048657887
1515,4,WM,matched,roi_incident,10,1000.0,0.0,0.6,0.4,0.3,0.36641319251591187,0.3668559956436603,0.3619823579138437
1515,4,WM,cross_task,roi_incident,10,0.1,1.0,0.5,0.5,0.35,0.36983629540409285,0.35988382047224504,0.3619823579138437
1515,4,WM,shuffled,direct_topk,1200,0.001,0.0,0.45,0.55,0.1,0.36846895712393735,0.36861801606826927,0.3619823579138437
1515,4,WM,random,roi_incident,5,0.001,1.0,0.5,0.5,0.2,0.35462814219178473,0.35403028238491524,0.3619823579138437
1515,4,FI,matched,roi_incident,15,1000.0,0.0,0.65,0.35,0.05,0.46813496244066166,0.4683365924820371,0.46625232217718365
