seed,fold,task,prior_type,expert_type,baseline_pearson,baseline_rmse,baseline_mae,fc_expert_pearson,sc_expert_pearson,expert_fused_pearson,final_pearson,final_rmse,final_mae,delta_final_vs_baseline,selected_mask_family_fc,selected_mask_size_fc,selected_lambda_fc_expert,selected_laplacian_ratio_fc,selected_mask_family_sc,selected_mask_size_sc,selected_lambda_sc_expert,selected_laplacian_ratio_sc,expert_w_FC,expert_w_SC,alpha_base_vs_expert,base_expert_prediction_corr,base_expert_error_corr,ridge_final_pearson,ridge_delta_vs_baseline,ridge_lambda_r,ridge_laplacian_ratio,max_recon_error
1313,2,FI,cross_task,ncr,0.23435571679380846,17.295446424262703,16.619443127442533,0.2068789651439174,0.3003166634410724,0.3288211741704441,0.24327548171940128,14.019965169664179,13.199849597238446,0.008919764925592821,roi_incident,15,100.0,0.0,roi_incident,15,100.0,0.0,0.25,0.75,0.2,0.7344245231440074,0.9490115747492467,0.24546858438595284,0.011112867592144388,100.0,0.0,21.002785614084836
1313,2,FI,shuffled,ncr,0.23435571679380846,17.295446424262703,16.619443127442533,0.17857186070250414,0.37144507732700416,0.3915267215404227,0.25427863536346984,10.161183593746633,9.05980602197711,0.019922918569661385,roi_incident,15,0.1,1.0,roi_incident,15,0.1,1.0,0.2,0.8,0.45,0.7694907749801203,0.9424355894815888,0.25494340108001695,0.020587684286208496,1000.0,0.0,11.88732860918332
1313,2,FI,random,ncr,0.23435571679380846,17.295446424262703,16.619443127442533,0.23656180923664544,0.3258095438808836,0.37131427247933435,0.22986486358119831,11.63680809815857,10.644186481944192,-0.004490853212610141,roi_incident,15,0.1,1.0,roi_incident,15,0.1,1.0,0.25,0.75,0.35,0.8330261451933497,0.9659607885760721,0.23893160474794553,0.004575887954137076,1000.0,0.0,14.04122244763218
1313,3,WM,matched,ncr,0.3876136458268013,109.9315280586134,109.44263894145804,0.07991369585562426,-0.04754759378277726,0.07991369585562426,0.3876136458268013,109.9315280586134,109.44263894145804,0.0,direct_topk,100,0.1,0.1,direct_topk,100,0.1,0.1,1.0,0.0,0.0,0.4278074479437721,0.7840364152431828,0.3876136458268013,0.0,1000.0,0.0,120.76498357550214
1313,3,WM,cross_task,ncr,0.3876136458268013,109.9315280586134,109.44263894145804,0.18668676037028992,-0.021249410176942655,0.18668676037028992,0.3889290360045912,104.40703965607644,103.89846863841822,0.0013153901777899213,direct_topk,300,0.1,1.0,direct_topk,300,0.1,1.0,1.0,0.0,0.05,0.5755610452557326,0.8435117857928298,0.3889192805585272,0.001305634731725902,1000.0,0.0,116.40272788038654
1313,3,WM,shuffled,ncr,0.3876136458268013,109.9315280586134,109.44263894145804,0.1778484530613259,-0.022972652653697963,0.1778484530613259,0.3876136458268013,109.9315280586134,109.44263894145804,0.0,roi_incident,5,0.1,1.0,roi_incident,5,0.1,1.0,1.0,0.0,0.0,0.6077522775421249,0.8600126075570194,0.3876136458268013,0.0,100.0,0.0,126.57208451540299
1313,3,WM,random,ncr,0.3876136458268013,109.9315280586134,109.44263894145804,0.1483151439851786,0.04205560345211909,0.1517645309043241,0.39034020186058555,98.84650708612838,98.31619245014319,0.0027265560337842443,direct_topk,300,0.1,1.0,direct_topk,300,0.1,1.0,0.85,0.15000000000000002,0.1,0.39446302221047924,0.7151470338083425,0.38893308983812663,0.0013194440113253325,1000.0,0.0,112.57182049123784
1313,3,FI,matched,ncr,0.3852531326916838,17.7518426852915,17.211278756639455,0.1551754467216246,0.2725336707195629,0.29865213868714446,0.40339143779002384,10.456129269426128,9.670247069824986,0.018138305098340024,direct_topk,600,1000.0,0.0,direct_topk,600,1000.0,0.0,0.4,0.6,0.45,0.5739208083576667,0.9370265902514865,0.415406109531867,0.0301529768401832,1000.0,0.0,11.603667178923503
1313,3,FI,cross_task,ncr,0.3852531326916838,17.7518426852915,17.211278756639455,0.10877994966787664,0.21061384023232044,0.2251156874084576,0.4046036468272304,12.872126237265517,12.143407993495188,0.01935051413554656,roi_incident,5,1000.0,0.0,roi_incident,5,1000.0,0.0,0.25,0.75,0.3,0.5297703284307417,0.9378823720316712,0.4099507825614443,0.024697649869760474,1000.0,0.0,15.144953390684233
1313,3,FI,shuffled,ncr,0.3852531326916838,17.7518426852915,17.211278756639455,0.166993189293108,0.20078068473578542,0.2567480898661953,0.38502060801958893,13.65407103901135,12.952053251338304,-0.00023252467209489147,roi_incident,15,1000.0,0.0,roi_incident,15,1000.0,0.0,0.4,0.6,0.25,0.5593154759466435,0.9132291875420085,0.38466626372593526,-0.0005868689657485548,1000.0,0.0,16.641565213940446
1313,3,FI,random,ncr,0.3852531326916838,17.7518426852915,17.211278756639455,0.21995811939182744,0.11558081458263773,0.2349816575228833,0.3687160263292202,12.114500366378074,11.355761103979683,-0.01653710636246364,direct_topk,100,100.0,0.0,direct_topk,100,100.0,0.0,0.45,0.55,0.35,0.43434854790964184,0.9230675400799155,0.3742441788199082,-0.01100895387177564,100.0,0.0,15.633064536695425
1313,4,WM,matched,ncr,0.36306829457608664,111.02622907522228,110.39535823681605,0.31773123166829315,0.057876916416003066,0.3181305158246236,0.2252984777691701,15.04735367566337,11.729629199671477,-0.13776981680691652,roi_incident,15,1000.0,0.0,roi_incident,15,1000.0,0.0,0.95,0.050000000000000044,0.9,0.7372585119452534,0.8862984045028065,0.20631363037784325,-0.15675466419824338,1000.0,0.0,12.415930096193534
1313,4,WM,cross_task,ncr,0.36306829457608664,111.02622907522228,110.39535823681605,0.18858558372737297,0.03218684593951629,0.18902615670096928,0.3504074334863527,77.64723658704352,76.80496442397464,-0.01266086108973391,direct_topk,600,0.1,1.0,direct_topk,600,0.1,1.0,0.85,0.15000000000000002,0.3,0.5312465038203902,0.8145978197259536,0.35038508084373143,-0.012683213732355203,1000.0,0.0,88.30558770748655
1313,4,WM,shuffled,ncr,0.36306829457608664,111.02622907522228,110.39535823681605,0.13932438850108667,0.07165003469910829,0.15340702898958464,0.35273739605629817,76.67376982731724,75.80527017802464,-0.010330898519788467,roi_incident,15,0.01,1.0,roi_incident,15,0.01,1.0,0.3,0.7,0.3,0.42035817727069025,0.7969679072351757,0.3404473292271735,-0.022620965348913114,10.0,0.0,91.64454942535909
1313,4,WM,random,ncr,0.36306829457608664,111.02622907522228,110.39535823681605,0.13350982213862322,0.010709031315666195,0.13355029088488263,0.36306829457608664,111.02622907522228,110.39535823681605,0.0,direct_topk,600,0.1,1.0,direct_topk,600,0.1,1.0,0.95,0.050000000000000044,0.0,0.5795103954627135,0.7802707971920712,0.36306829457608664,0.0,100.0,0.0,122.84923904611688
1313,4,FI,matched,ncr,0.21919579096182948,17.17021331689768,16.464680916606973,0.279939522795763,0.2623816047307724,0.3353071355425434,0.22719101442573303,12.304504232609611,11.32793723136028,0.00799522346390355,direct_topk,100,1000.0,0.0,direct_topk,100,1000.0,0.0,0.4,0.6,0.3,0.6662792195763054,0.9253296562114428,0.22813789795665398,0.008942106994824506,1000.0,0.0,15.897245204412789
1313,4,FI,cross_task,ncr,0.21919579096182948,17.17021331689768,16.464680916606973,0.23916697110825516,0.1437673120329196,0.2563661363478412,0.20940454129376718,14.731658356304045,13.905945355254165,-0.009791249668062302,direct_topk,100,1000.0,0.0,direct_topk,100,1000.0,0.0,0.55,0.44999999999999996,0.15,0.5213205965242925,0.9084217465358795,0.20354165544468872,-0.01565413551714076,1000.0,0.0,19.83634715208846
1313,4,FI,shuffled,ncr,0.21919579096182948,17.17021331689768,16.464680916606973,0.2440444732501691,0.3586497998313377,0.39287006680375147,0.23939784985816434,10.776485232087342,9.686576779061985,0.020202058896334862,direct_topk,1200,1000.0,0.0,direct_topk,1200,1000.0,0.0,0.25,0.75,0.4,0.7715559315130386,0.9440295951411687,0.24135347973022314,0.022157688768393663,1000.0,0.0,12.953614903107752
1313,4,FI,random,ncr,0.21919579096182948,17.17021331689768,16.464680916606973,0.13741341903657822,0.20943437168963552,0.22353584353951103,0.21919579096182948,17.17021331689768,16.464680916606973,0.0,direct_topk,100,1000.0,0.0,direct_topk,100,1000.0,0.0,0.15,0.85,0.0,0.5648070671039597,0.9159985806245685,0.21919579096182948,0.0,1000.0,0.0,22.008203967136375
1414,0,WM,matched,ncr,0.09855479022261042,111.79198986014511,111.24998594470442,0.16714954561212528,0.0543994433710853,0.16963147996874303,0.11539392165709518,84.29210659325062,83.5906385025028,0.01683913143448476,direct_topk,1200,0.1,1.0,direct_topk,1200,0.1,1.0,0.7,0.30000000000000004,0.25,0.34573080527628597,0.8776156056450981,0.08447053412287187,-0.014084256099738554,1000.0,0.0,89.04752621961686
1414,0,WM,cross_task,ncr,0.09855479022261042,111.79198986014511,111.24998594470442,0.1706840321324159,0.15130411804337401,0.20730021253151185,0.09762132570138435,73.40194478706321,72.61633141648693,-0.0009334645212260712,roi_incident,10,1000.0,0.0,roi_incident,10,1000.0,0.0,0.35,0.65,0.35,0.5440273990785256,0.9260117262206708,0.09247165294773421,-0.0060831372748762075,1000.0,0.0,77.24538659972939
1414,0,WM,shuffled,ncr,0.09855479022261042,111.79198986014511,111.24998594470442,0.25056528182178484,0.153693246497544,0.2668199857601798,0.22161679089846617,56.72963146149986,55.77036608796951,0.12306200067585575,direct_topk,1200,100.0,0.0,direct_topk,1200,100.0,0.0,0.7,0.30000000000000004,0.5,0.6697001708937388,0.9356856671168479,0.22161679089846498,0.12306200067585456,100.0,0.0,69.31604147055198
1414,0,WM,random,ncr,0.09855479022261042,111.79198986014511,111.24998594470442,0.26679278872426015,0.07693619003439617,0.2747652424444872,0.09352038486863011,62.3871209267349,61.42900783426653,-0.005034405353980309,roi_incident,5,0.1,1.0,roi_incident,5,0.1,1.0,0.8,0.19999999999999996,0.45,0.500761491366193,0.8630246186806242,0.09065823264140555,-0.007896557581204874,1000.0,0.0,68.5158436733945
1414,0,FI,matched,ncr,0.37249569066280325,17.478306016028636,16.980912265301153,0.25119802787983003,0.239871839107,0.3284155874396221,0.37354159489029937,11.124823465719304,10.351510119810017,0.0010459042274961194,roi_incident,15,1000.0,0.0,roi_incident,15,1000.0,0.0,0.6,0.4,0.4,0.65320089838983,0.9396044323090454,0.37354159489029926,0.0010459042274960084,1000.0,0.0,13.531901433617428
1414,0,FI,cross_task,ncr,0.37249569066280325,17.478306016028636,16.980912265301153,0.19531139518547322,0.23770016386835985,0.301260725876728,0.34760980714144374,11.936153470785799,11.188051598745842,-0.02488588352135951,roi_incident,15,1000.0,0.0,roi_incident,15,1000.0,0.0,0.5,0.5,0.35,0.5675672263764854,0.9284484182497126,0.3476098071414437,-0.024885883521359564,1000.0,0.0,14.866893692402046
1414,0,FI,shuffled,ncr,0.37249569066280325,17.478306016028636,16.980912265301153,0.2117532527265581,0.1795173135273046,0.2560725542478627,0.37249569066280325,17.478306016028636,16.980912265301153,0.0,roi_incident,15,1000.0,0.0,roi_incident,15,1000.0,0.0,0.35,0.65,0.0,0.7260136871169289,0.9526480200902101,0.37249569066280325,0.0,1000.0,0.0,21.160115850867115
1414,0,FI,random,ncr,0.37249569066280325,17.478306016028636,16.980912265301153,0.06625445665268548,0.12859928035918167,0.14408688825649024,0.373980725179898,16.674750325986896,16.155901212455635,0.001485034517094752,direct_topk,300,1000.0,0.0,direct_topk,300,1000.0,0.0,0.35,0.65,0.05,0.3402669858818502,0.8605660991158781,0.3739807251798979,0.001485034517094641,1000.0,0.0,22.313940549651427
