edge_index,roi_i_0based,roi_j_0based,roi_i_1based,roi_j_1based,mean_signed_coef,mean_abs_coef,median_abs_coef,rank_mean_abs,roi_i_name,roi_j_name,top10_frequency,top20_frequency,top50_frequency,sign_consistency
5397,65,68,66,69,0.0008684530173583063,0.0008684530173583063,0.0008684530173583063,5569,Angular_R,Paracentral_Lobule_L,0.0,0.0,0.0,1.0
3538,36,65,37,66,0.0008682286705496753,0.0008682286705496753,0.0008682286705496753,5570,Hippocampus_L,Angular_R,0.0,0.0,0.0,1.0
4063,43,65,44,66,0.0008682249029547536,0.0008682249029547536,0.0008682249029547536,5571,Calcarine_R,Angular_R,0.0,0.0,0.0,1.0
3298,33,65,34,66,0.0008678136054299317,0.0008678136054299317,0.0008678136054299317,5572,Cingulum_Mid_R,Angular_R,0.0,0.0,0.0,1.0
4966,57,65,58,66,0.0008677647612659052,0.0008677647612659052,0.0008677647612659052,5573,Postcentral_R,Angular_R,0.0,0.0,0.0,1.0
4432,48,89,49,90,-0.0008671532805005104,0.0008671532805005104,0.0008671532805005104,5574,Occipital_Sup_L,Temporal_Inf_R,0.0,0.0,0.0,1.0
5420,65,91,66,92,0.0008656283994558116,0.0008656283994558116,0.0008656283994558116,5575,Angular_R,Cerebelum_Crus1_R,0.0,0.0,0.0,1.0
3379,34,65,35,66,0.0008654502663888005,0.0008654502663888005,0.0008654502663888005,5576,Cingulum_Post_L,Angular_R,0.0,0.0,0.0,1.0
2964,29,65,30,66,0.0008652600032211206,0.0008652600032211206,0.0008652600032211206,5577,Insula_R,Angular_R,0.0,0.0,0.0,1.0
5401,65,72,66,73,0.0008648619963510973,0.0008648619963510973,0.0008648619963510973,5578,Angular_R,Putamen_L,0.0,0.0,0.0,1.0
2791,27,65,28,66,0.0008644604630324097,0.0008644604630324097,0.0008644604630324097,5579,Rectus_R,Angular_R,0.0,0.0,0.0,1.0
5440,65,111,66,112,0.0008643095586256919,0.0008643095586256919,0.0008643095586256919,5580,Angular_R,Vermis_6,0.0,0.0,0.0,1.0
3616,37,65,38,66,0.0008637624822969241,0.0008637624822969241,0.0008637624822969241,5581,Hippocampus_R,Angular_R,0.0,0.0,0.0,1.0
5410,65,81,66,82,0.0008627024492674497,0.0008627024492674497,0.0008627024492674497,5582,Angular_R,Temporal_Sup_R,0.0,0.0,0.0,1.0
5404,65,75,66,76,0.0008622397555119288,0.0008622397555119288,0.0008622397555119288,5583,Angular_R,Pallidum_R,0.0,0.0,0.0,1.0
1866,17,65,18,66,0.0008621820519924386,0.0008621820519924386,0.0008621820519924386,5584,Rolandic_Oper_R,Angular_R,0.0,0.0,0.0,1.0
5434,65,105,66,106,0.0008619715130546118,0.0008619715130546118,0.0008619715130546118,5585,Angular_R,Cerebelum_9_R,0.0,0.0,0.0,1.0
5433,65,104,66,105,0.0008616662059155023,0.0008616662059155023,0.0008616662059155023,5586,Angular_R,Cerebelum_9_L,0.0,0.0,0.0,1.0
3049,30,65,31,66,0.0008610342738639374,0.0008610342738639374,0.0008610342738639374,5587,Cingulum_Ant_L,Angular_R,0.0,0.0,0.0,1.0
5134,60,65,61,66,0.000860621705072179,0.000860621705072179,0.000860621705072179,5588,Parietal_Inf_L,Angular_R,0.0,0.0,0.0,1.0
1768,16,65,17,66,0.0008603560825448044,0.0008603560825448044,0.0008603560825448044,5589,Rolandic_Oper_L,Angular_R,0.0,0.0,0.0,1.0
5414,65,85,66,86,0.0008590774822624787,0.0008590774822624787,0.0008590774822624787,5590,Angular_R,Temporal_Mid_R,0.0,0.0,0.0,1.0
5428,65,99,66,100,0.0008585857942324507,0.0008585857942324507,0.0008585857942324507,5591,Angular_R,Cerebelum_6_R,0.0,0.0,0.0,1.0
5418,65,89,66,90,0.0008579692428399687,0.0008579692428399687,0.0008579692428399687,5592,Angular_R,Temporal_Inf_R,0.0,0.0,0.0,1.0
5417,65,88,66,89,0.0008577100168464826,0.0008577100168464826,0.0008577100168464826,5593,Angular_R,Temporal_Inf_L,0.0,0.0,0.0,1.0
5431,65,102,66,103,0.0008565379126270064,0.0008565379126270064,0.0008565379126270064,5594,Angular_R,Cerebelum_8_L,0.0,0.0,0.0,1.0
948,8,65,9,66,0.0008564839101537021,0.0008564839101537021,0.0008564839101537021,5595,Frontal_Mid_Orb_L,Angular_R,0.0,0.0,0.0,1.0
2154,20,65,21,66,0.0008563444584821885,0.0008563444584821885,0.0008563444584821885,5596,Olfactory_L,Angular_R,0.0,0.0,0.0,1.0
