task,seed,outer_fold,condition,model,pearson,rmse,mae,n_train,n_test
fluid_intelligence,7,1,R2,FP,0.26604778716024685,5.234927389096281,4.099566865411148,329,83
fluid_intelligence,7,1,R2,fused,0.4959291247090955,4.444076486700025,3.6135566588176986,329,83
fluid_intelligence,7,1,R2,equal_weight,0.4500335225296295,4.565972900215865,3.686586170659929,329,83
fluid_intelligence,7,2,R2,FC,0.05643573678298651,6.081582353300727,5.065169019553646,330,82
fluid_intelligence,7,2,R2,SC,0.3632074158263079,4.629480048304383,3.801986465924683,330,82
fluid_intelligence,7,2,R2,FP,0.12568367252480583,5.266820929062785,4.467418874012251,330,82
fluid_intelligence,7,2,R2,fused,0.36288466103254985,4.575507047103039,3.817020802576568,330,82
fluid_intelligence,7,2,R2,equal_weight,0.3152200100330402,4.662797177686894,3.95870064480552,330,82
fluid_intelligence,7,3,R2,FC,0.1596497307512112,6.08401252232699,4.927013429414501,330,82
fluid_intelligence,7,3,R2,SC,0.3292034499872269,4.960291898137642,4.0595918207114785,330,82
fluid_intelligence,7,3,R2,FP,0.21182766743865739,5.052758177736403,4.276958386420509,330,82
fluid_intelligence,7,3,R2,fused,0.3546427185757696,4.8332426491738305,3.981404281063696,330,82
fluid_intelligence,7,3,R2,equal_weight,0.3807267695306904,4.806224334215567,4.013751695185555,330,82
fluid_intelligence,7,4,R2,FC,0.3176885506744538,4.911032393699362,3.8980940050153827,330,82
fluid_intelligence,7,4,R2,SC,0.2724900149758027,4.724486853929152,3.9103642458057117,330,82
fluid_intelligence,7,4,R2,FP,0.29858162450188797,4.468104662808851,3.7977501386821113,330,82
fluid_intelligence,7,4,R2,fused,0.30744321593861146,4.490805512878488,3.7634225461377286,330,82
fluid_intelligence,7,4,R2,equal_weight,0.3245075452943976,4.436486897476225,3.7328569914338576,330,82
fluid_intelligence,8,0,R2,FC,0.08824836685194165,5.796809271247592,4.635258066213884,329,83
fluid_intelligence,8,0,R2,SC,0.3607049194369769,4.627733866407905,3.854414204856866,329,83
fluid_intelligence,8,0,R2,FP,0.18097606497201468,5.032681553898042,4.204922781334219,329,83
fluid_intelligence,8,0,R2,fused,0.3715932723046761,4.553092367468769,3.831468674126078,329,83
fluid_intelligence,8,0,R2,equal_weight,0.3465180392598445,4.599371737198978,3.913953521685947,329,83
fluid_intelligence,8,1,R2,FC,0.13033147293268968,5.937574985430922,4.657767626470649,329,83
fluid_intelligence,8,1,R2,SC,0.4163538092204795,4.687850857145921,3.752291616979723,329,83
fluid_intelligence,8,1,R2,FP,0.17066320922341233,5.274670169485183,4.163246410322518,329,83
fluid_intelligence,8,1,R2,fused,0.39671507051892196,4.683626571261694,3.7581444551851884,329,83
fluid_intelligence,8,1,R2,equal_weight,0.3737099181350414,4.735175992386208,3.7953923992978336,329,83
fluid_intelligence,8,2,R2,FC,0.3037013801820559,5.338317525298373,4.191948817242966,330,82
fluid_intelligence,8,2,R2,SC,0.4093706606102064,4.511744158555301,3.6295530753937197,330,82
fluid_intelligence,8,2,R2,FP,0.19835707424302698,4.76942584020942,3.9267884506903434,330,82
fluid_intelligence,8,2,R2,fused,0.4230322826295475,4.450391190867226,3.6157783625407363,330,82
fluid_intelligence,8,2,R2,equal_weight,0.41346612940712935,4.475215417101382,3.676247825218453,330,82
fluid_intelligence,8,3,R2,FC,0.06744398883734949,5.548307852001891,4.60754212866281,330,82
fluid_intelligence,8,3,R2,SC,0.2236283315795381,4.704915139398051,4.032384817584586,330,82
fluid_intelligence,8,3,R2,FP,0.06615958180102886,5.064853869322438,4.277432374382524,330,82
fluid_intelligence,8,3,R2,fused,0.1772416014958636,4.625754045879435,3.968160629812266,330,82
fluid_intelligence,8,3,R2,equal_weight,0.18870034787629453,4.603778611054256,3.9457824533760077,330,82
fluid_intelligence,8,4,R2,FC,0.26272248059161074,5.491520421626573,4.449553961848994,330,82
fluid_intelligence,8,4,R2,SC,0.34718493037388537,4.900316694218685,4.095020065285687,330,82
fluid_intelligence,8,4,R2,FP,0.2888178699288828,5.018510233520885,4.212688920896395,330,82
fluid_intelligence,8,4,R2,fused,0.34718493037388537,4.900316694218685,4.095020065285687,330,82
fluid_intelligence,8,4,R2,equal_weight,0.40973742111320177,4.742461619800245,4.010940451139401,330,82
fluid_intelligence,9,0,R2,FC,0.1727975197556046,5.788960651319551,4.314391462334391,329,83
fluid_intelligence,9,0,R2,SC,0.5077461325176806,4.311566563810478,3.586983041059271,329,83
fluid_intelligence,9,0,R2,FP,0.11979500491549497,5.020558455662851,4.203004702087468,329,83
fluid_intelligence,9,0,R2,fused,0.4809328285096161,4.477417822719908,3.77631119141745,329,83
fluid_intelligence,9,0,R2,equal_weight,0.46676765881724747,4.512509250739936,3.8088622031138786,329,83
fluid_intelligence,9,1,R2,FC,0.10799065143331395,5.87811024064174,5.001415312944098,329,83
fluid_intelligence,9,1,R2,SC,0.3278693450051123,4.977367333007963,4.195725252932704,329,83
fluid_intelligence,9,1,R2,FP,0.18790551633099142,5.231909016386526,4.435941521710916,329,83
fluid_intelligence,9,1,R2,fused,0.34410179010716635,4.797015589811351,4.090384565055524,329,83
fluid_intelligence,9,1,R2,equal_weight,0.33480875994680753,4.811908627867677,4.118128801774887,329,83
fluid_intelligence,9,2,R2,FC,0.23592882446124439,5.0711644891528564,4.068215398092697,330,82
fluid_intelligence,9,2,R2,SC,0.4819422460877967,4.139748815672635,3.3636577882829855,330,82
fluid_intelligence,9,2,R2,FP,0.235276475713248,4.694895386973091,3.8921285873318747,330,82
fluid_intelligence,9,2,R2,fused,0.49655738438848385,4.101843543835378,3.3997215473039435,330,82
fluid_intelligence,9,2,R2,equal_weight,0.4694089576538512,4.166548956851003,3.481495101479019,330,82
fluid_intelligence,9,3,R2,FC,0.34545801727738035,5.104931581754554,4.078489875955536,330,82
fluid_intelligence,9,3,R2,SC,0.3992301441245958,4.603192212096321,3.7470858473055357,330,82
fluid_intelligence,9,3,R2,FP,0.3800136537953803,4.672832732803121,3.7875173140517506,330,82
fluid_intelligence,9,3,R2,fused,0.4473496660193145,4.46880390808416,3.612351813773135,330,82
fluid_intelligence,9,3,R2,equal_weight,0.47899986482871354,4.405172839762681,3.5739074023884627,330,82
fluid_intelligence,9,4,R2,FC,0.20235893769239183,6.081364239406466,4.694045351399604,330,82
fluid_intelligence,9,4,R2,SC,0.2918599955301672,4.741962638428402,3.8207551836462206,330,82
fluid_intelligence,9,4,R2,FP,0.19181412735364026,5.280963814175822,4.293217851271022,330,82
fluid_intelligence,9,4,R2,fused,0.3220620969732522,4.61145258112217,3.851692427716908,330,82
fluid_intelligence,9,4,R2,equal_weight,0.3069636528454785,4.654549303812769,3.8939608320200287,330,82
fluid_intelligence,0,0,R3,FC,0.16924808399796537,5.394924784901462,4.216918468810427,329,83
fluid_intelligence,0,0,R3,SC,0.5010066323369082,3.8067418891913047,2.923656851419128,329,83
fluid_intelligence,0,0,R3,FP,0.2578606076291047,4.670100219615895,3.64241533538646,329,83
fluid_intelligence,0,0,R3,fused,0.5082450469795867,3.7678509785651597,2.9050799116547785,329,83
fluid_intelligence,0,0,R3,equal_weight,0.4523844841477598,3.9138555713831282,3.015607616823776,329,83
fluid_intelligence,0,1,R3,FC,0.25563237432806524,5.500378170122329,4.592864476053432,329,83
fluid_intelligence,0,1,R3,SC,0.3507333439951801,4.80596463694515,4.06662322648786,329,83
fluid_intelligence,0,1,R3,FP,0.26965450433324223,4.898340567016371,4.093597448396017,329,83
fluid_intelligence,0,1,R3,fused,0.36898934221567536,4.722583372036835,4.010784452585741,329,83
fluid_intelligence,0,1,R3,equal_weight,0.36898934221567536,4.722583372036835,4.010784452585741,329,83
fluid_intelligence,0,2,R3,FC,0.11983971833121343,5.858288949040659,4.73129260703838,330,82
fluid_intelligence,0,2,R3,SC,0.316199090597919,5.044926439868408,4.322175420304644,330,82
fluid_intelligence,0,2,R3,FP,0.15010944146352995,5.206872283733575,4.4909306334835755,330,82
fluid_intelligence,0,2,R3,fused,0.3271989759395451,4.925636373102103,4.267625916166854,330,82
fluid_intelligence,0,2,R3,equal_weight,0.32438914415799713,4.88918772352448,4.257109677400526,330,82
fluid_intelligence,0,3,R3,FC,0.07988085323423023,5.875732309617666,4.8029881617561,330,82
