task,condition,seed,model,mean_pearson,mean_rmse,mean_mae,n_folds
fluid_intelligence,R3,0,fc,0.17711915568510614,5.607507025249224,4.5084116630932725,5
fluid_intelligence,R3,0,sc,0.3620121335899672,4.62154437281057,3.7770702322919605,5
fluid_intelligence,R3,0,fp,0.21692381117798248,4.989384130317566,4.156213262243366,5
fluid_intelligence,R3,0,fused,0.3723431448993256,4.54174907823141,3.769603864018346,5
fluid_intelligence,R3,0,equal_weight,0.36397088652429593,4.568207357186958,3.8209280863232484,5
fluid_intelligence,R3,1,fc,0.1679426562172889,5.815727457304083,4.743568018028656,5
fluid_intelligence,R3,1,sc,0.33607779628559686,4.695048806141758,3.852693233049821,5
fluid_intelligence,R3,1,fp,0.24434022958064866,5.011944066946413,4.210054163760502,5
fluid_intelligence,R3,1,fused,0.3438194451306792,4.645030622670528,3.849290010725935,5
fluid_intelligence,R3,1,equal_weight,0.35936208153849597,4.599882062352094,3.857243552314184,5
fluid_intelligence,R3,2,fc,0.2078657287323277,5.589542927885066,4.5651704473414165,5
fluid_intelligence,R3,2,sc,0.3784823211357158,4.5928199499156435,3.7646894666522974,5
fluid_intelligence,R3,2,fp,0.24447127652042872,4.917999905465775,4.132785062180753,5
fluid_intelligence,R3,2,fused,0.3964566940372961,4.5158433336066635,3.7301554072724734,5
fluid_intelligence,R3,2,equal_weight,0.3959699313472742,4.522863262724081,3.8127719253388763,5
fluid_intelligence,R3,3,fc,0.1692648084052828,5.664405619799799,4.49295343017433,5
fluid_intelligence,R3,3,sc,0.32760127202350914,4.708466792905002,3.834383491416591,5
fluid_intelligence,R3,3,fp,0.20957890839287185,4.91158910914437,4.105438005738552,5
fluid_intelligence,R3,3,fused,0.34393099340023653,4.629744166256099,3.7912634211175087,5
fluid_intelligence,R3,3,equal_weight,0.34384525962214946,4.611669276338616,3.8523631709302704,5
fluid_intelligence,R3,4,fc,0.21451928485675645,5.437577566197366,4.393983049424633,5
fluid_intelligence,R3,4,sc,0.35088912639939845,4.643919353523344,3.826758546751492,5
fluid_intelligence,R3,4,fp,0.23770049404420387,4.857990247123588,4.0723746335987245,5
fluid_intelligence,R3,4,fused,0.35869657363698826,4.5819904762981,3.8044520137347524,5
fluid_intelligence,R3,4,equal_weight,0.3716186634342876,4.541615813061211,3.8344514340932405,5
fluid_intelligence,R3,5,fc,0.17693886451938945,5.662172137462852,4.4930628745827,5
fluid_intelligence,R3,5,sc,0.34703719162647617,4.662324024688283,3.8109217376321993,5
fluid_intelligence,R3,5,fp,0.22938938251564517,4.942120875412781,4.058487484678517,5
fluid_intelligence,R3,5,fused,0.3605802366582141,4.580055606409138,3.7959931399212294,5
fluid_intelligence,R3,5,equal_weight,0.3596423408229661,4.5752142015542665,3.822730453335737,5
fluid_intelligence,R3,6,fc,0.18775084009644413,5.526917206271246,4.494079137156605,5
fluid_intelligence,R3,6,sc,0.3621919414565111,4.612943940034265,3.7957606329021303,5
fluid_intelligence,R3,6,fp,0.2131530680197724,4.974492298202274,4.162312878398798,5
fluid_intelligence,R3,6,fused,0.3789107695634521,4.532700202424433,3.759108993181697,5
fluid_intelligence,R3,6,equal_weight,0.36834434806806204,4.545207852527228,3.815536511264642,5
fluid_intelligence,R3,7,fc,0.1627997023767222,5.780547352336337,4.6909620849707565,5
fluid_intelligence,R3,7,sc,0.35389476869857084,4.6514411123257275,3.824191022591151,5
fluid_intelligence,R3,7,fp,0.20557415088228223,5.117102114546084,4.240220070589399,5
fluid_intelligence,R3,7,fused,0.37535963206509604,4.544622998134827,3.774394353936146,5
fluid_intelligence,R3,7,equal_weight,0.34827171552996206,4.610570916633316,3.8481067814221483,5
fluid_intelligence,R3,8,fc,0.1704895378791295,5.62250601112107,4.508414120087862,5
fluid_intelligence,R3,8,sc,0.35144853024421724,4.686512143145173,3.872732756020117,5
fluid_intelligence,R3,8,fp,0.1960446453226305,5.03128744218095,4.128482854851356,5
fluid_intelligence,R3,8,fused,0.3441559758794248,4.646597514711924,3.849254104858099,5
fluid_intelligence,R3,8,equal_weight,0.35228363501605864,4.62384517537594,3.843821621957006,5
fluid_intelligence,R3,9,fc,0.21290679012398703,5.584906240455033,4.431311480145266,5
fluid_intelligence,R3,9,sc,0.40172957265307047,4.55476751260316,3.7428414226453435,5
fluid_intelligence,R3,9,fp,0.24139234733908355,4.912289191839166,4.069090377222031,5
fluid_intelligence,R3,9,fused,0.4260603793225286,4.4609989263849785,3.705810132726871,5
fluid_intelligence,R3,9,equal_weight,0.4145086932394258,4.494220279014595,3.753707220816574,5
