seed,fold,task,model,pearson_r,rmse,mae,alpha_fc,alpha_sc,lambda2_wm,lambda2_fi,eta_wm,eta_fi
1111,1,WM,mt_residual_no_prior,0.3765641667285189,11.878802594744444,9.171510055897928,100,100,10.0,10.0,1.0,1.0
1111,1,FI,mt_residual_no_prior,0.3850692885872191,4.543289109746044,3.802864309567474,100,100,10.0,10.0,1.0,1.0
1111,1,WM,mt_residual_prior,0.3766470311751161,11.874852897525056,9.1793733917777,100,100,10.0,10.0,1.0,1.0
1111,1,FI,mt_residual_prior,0.3867422281686908,4.525020471238058,3.805420523880917,100,100,10.0,10.0,1.0,1.0
1111,2,WM,base_late_fusion,0.22799155011501254,11.606565312737919,9.319023780206322,50,1,10.0,10.0,0.0,0.0
1111,2,FI,base_late_fusion,0.39075969703216723,4.563616694021343,3.7834119774410206,50,1,10.0,10.0,0.0,0.0
1111,2,WM,ind_residual_no_prior,0.22799155011501254,11.606565312737919,9.319023780206322,50,1,10.0,10.0,0.0,1.0
1111,2,FI,ind_residual_no_prior,0.39444212075879326,4.582529062510603,3.7640986985775244,50,1,10.0,10.0,0.0,1.0
1111,2,WM,ind_residual_prior,0.22799155011501254,11.606565312737919,9.319023780206322,50,1,10.0,10.0,0.0,1.0
1111,2,FI,ind_residual_prior,0.39093712079898413,4.563192489218539,3.782822967531175,50,1,10.0,10.0,0.0,1.0
1111,2,WM,mt_residual_no_prior,0.2233171976338531,11.65317385104474,9.352645097862487,50,1,10.0,10.0,0.25,1.0
1111,2,FI,mt_residual_no_prior,0.3948545231355203,4.553520413701623,3.7686535530566445,50,1,10.0,10.0,0.25,1.0
1111,2,WM,mt_residual_prior,0.2279923758768328,11.606629227238734,9.319061697835341,50,1,10.0,10.0,0.25,1.0
1111,2,FI,mt_residual_prior,0.3909435551067971,4.563178832152764,3.782803803105709,50,1,10.0,10.0,0.25,1.0
1111,3,WM,base_late_fusion,0.35770215040774567,11.358846892114846,9.37405726244811,50,50,10.0,10.0,0.0,0.0
1111,3,FI,base_late_fusion,0.22942895013602038,4.974994026854271,4.063078960737417,50,50,10.0,10.0,0.0,0.0
1111,3,WM,ind_residual_no_prior,0.35770215040774567,11.358846892114846,9.37405726244811,50,50,10.0,10.0,0.0,0.0
1111,3,FI,ind_residual_no_prior,0.22942895013602038,4.974994026854271,4.063078960737417,50,50,10.0,10.0,0.0,0.0
1111,3,WM,ind_residual_prior,0.35770215040774567,11.358846892114846,9.37405726244811,50,50,10.0,10.0,0.0,0.0
1111,3,FI,ind_residual_prior,0.22942895013602038,4.974994026854271,4.063078960737417,50,50,10.0,10.0,0.0,0.0
1111,3,WM,mt_residual_no_prior,0.3573079182125371,11.38148841090794,9.395422190447322,50,50,10.0,10.0,0.0,0.0
1111,3,FI,mt_residual_no_prior,0.2282348905256587,4.988926238481421,4.066829056631209,50,50,10.0,10.0,0.0,0.0
1111,3,WM,mt_residual_prior,0.35770215040774567,11.358846892114846,9.37405726244811,50,50,10.0,10.0,0.0,0.0
1111,3,FI,mt_residual_prior,0.22942895013602038,4.974994026854271,4.063078960737417,50,50,10.0,10.0,0.0,0.0
1111,4,WM,base_late_fusion,0.29780775469111415,9.993668570766507,8.242837787643316,50,50,10.0,10.0,0.0,0.0
