task,seed,outer_fold,selected_candidate,selected_hyperparam,baseline_r,selected_r,delta_r,baseline_rmse,selected_rmse,baseline_mae,selected_mae,a_oof_r,b_oof_r,c_oof_r,b_best_a,c_best_lambda
working_memory,4,4,B,0.75,0.43699702587334827,0.4286572697544879,-0.008339756118860342,10.60098595593687,10.5691203908772,8.693071224118025,8.570585963166698,0.10599335386671929,0.134134022295872,0.09586061527307482,0.75,0.0
working_memory,5,0,B,0.5,0.1002181326277603,0.11275033835309145,0.012532205725331147,12.392287435612069,12.450698453351501,9.77840063719551,9.804331844551557,0.2293731127424902,0.2322326054980813,0.19375819182709947,0.5,100.0
working_memory,5,1,A,0.0,0.25884253526798146,0.25884253526798146,0.0,11.725447336413136,11.725447336413136,9.699436345535581,9.699436345535581,0.13719906785657177,0.13719906785657177,0.11471344919577715,0.0,100.0
working_memory,5,2,B,1.0,0.1140180194706593,0.13901147566273586,0.02499345619207656,11.903847309009526,10.92464253952404,9.490795740872207,8.558535839346073,0.22889557381522785,0.2611976631384735,0.2265470856178166,1.0,100.0
working_memory,5,3,A,0.0,0.2604621117237646,0.2604621117237646,0.0,11.369105698814476,11.369105698814476,9.254261656987532,9.254261656987532,0.21026634810679196,0.21026634810679196,0.17404492747204756,0.0,100.0
working_memory,5,4,B,1.0,0.23535480644553022,0.1978896759745129,-0.03746513047101732,11.20938779459127,11.563362471544272,9.295859368830302,9.561971793760131,0.2388522437939682,0.25527111445334216,0.22331963108877653,1.0,0.0
working_memory,6,0,A,0.0,0.2383816157089057,0.2383816157089057,0.0,11.630400757162866,11.630400757162866,9.568786693516971,9.568786693516971,0.2855199565732895,0.2855199565732895,0.24229911766100326,0.0,10.0
working_memory,6,1,B,0.25,0.23833166883818055,0.25112144475994974,0.012789775921769192,10.41182888069366,10.374646134617338,8.468117052201684,8.422625738916254,0.18377488340449924,0.18457601347018543,0.10929538533688596,0.25,100.0
working_memory,6,2,A,0.0,0.03398938164578124,0.03398938164578124,0.0,12.762084709882313,12.762084709882313,10.827677709515381,10.827677709515381,0.29317807082459035,0.29317807082459035,0.27569289668227376,0.0,100.0
working_memory,6,3,A,0.0,0.3433784879253558,0.3433784879253558,0.0,10.272983197965043,10.272983197965043,7.864235359861151,7.864235359861151,0.29215599509343587,0.29215599509343587,0.2660691560286265,0.0,100.0
working_memory,6,4,B,1.5,0.3088783831920857,-0.11118455036208356,-0.4200629335541693,11.881435880294521,14.175822937745597,9.705415282861791,11.460340111807426,0.10801886021784197,0.1420701524573454,0.11851591408020265,1.5,0.0
working_memory,7,0,B,2.0,0.22310314792111535,0.24865806719365563,0.025554919272540277,11.686917002707007,11.68434263506716,9.049373560836381,8.844904058123225,0.1754339463218518,0.2112867969582277,0.17089638853181124,2.0,100.0
working_memory,7,1,B,1.0,0.29027705660225195,0.2470089607327114,-0.04326809586954056,10.326477776057551,10.167881816133978,8.531622432050018,8.482020610630347,0.28795901882523317,0.30698590444680796,0.28779708691361894,1.0,10.0
working_memory,7,2,B,0.5,0.17923963366298384,0.20292117195358322,0.02368153829059938,11.895376101075879,11.552734874726932,9.455676379784611,9.290132241295881,0.22618405609804493,0.23210878454187645,0.2000613332537678,0.5,100.0
working_memory,7,3,B,0.1,0.3370505732049086,0.3312047060612855,-0.005845867143623118,11.083952270311949,11.109039035883576,9.4113187633821,9.426517868513601,0.21499999457049296,0.21577850338899557,0.16130315368310544,0.1,100.0
working_memory,7,4,B,0.5,0.26207862722721154,0.2858435627905204,0.023764935563308887,11.195278352499953,11.116973152496406,9.313906808192735,9.211177172643696,0.2867696472041,0.3075890034973622,0.2716934115799059,0.5,100.0
working_memory,8,0,B,0.5,0.19415815376736512,0.21313325843210218,0.018975104664737064,11.355771530133572,11.312123461639736,9.291422023319708,9.30249374751774,0.25951568583604223,0.27497698141889987,0.24430307373520027,0.5,100.0
working_memory,8,1,B,1.0,0.29530200342160984,0.3471377506858753,0.051835747264265486,11.190829296143317,10.690410541878151,9.338945023451698,8.749399429763505,0.2525073485595952,0.2736496694045526,0.24676018057515947,1.0,0.0
working_memory,8,2,A,0.0,0.42825225784860754,0.42825225784860754,0.0,10.195538659277771,10.195538659277771,8.157027984319317,8.157027984319317,0.12361978888829943,0.12361978888829943,0.09810129670195827,0.0,100.0
