model,seed,fold,abstained,base_rmse,top5_delta_rmse,top10_delta_rmse,bottom5_delta_rmse,bottom10_delta_rmse,random5_mean,random5_std,random5_p95,random5_p5,random10_mean,random10_std,random10_p95,random10_p5,top10_minus_random10,top5_minus_random5,top10_random10_percentile
R-CROSS,7171,4,0,12.082877364019367,0.016327406305478576,-0.23978135298928827,0.45718734178249143,0.6111331558292168,-0.049806993215919027,0.19891890533577244,0.3119064742692966,-0.31526992592873493,0.005189679089024964,0.3619185159975834,0.615236794208457,-0.4377511081627106,-0.24497103207831322,0.0661343995213976,0.25
R-CROSS,7272,0,0,12.35792668632899,0.07358781883953469,-0.03350811367885598,0.03115464029578696,0.019952555613665268,-0.0011767276605926646,0.10890930839421238,0.1804653889041746,-0.18767999015809397,-0.00912889078159024,0.15237136621241373,0.2582176392506824,-0.2253481618899425,-0.02437922289726574,0.07476454650012736,0.5
R-CROSS,7272,1,0,10.601168783832785,-0.27069370443686935,-0.2787526452776188,0.1885624269921209,0.2718173386963283,0.040367118123887075,0.1649738987097912,0.3368019481152123,-0.20669858565881585,0.09742406741312808,0.24339203180023608,0.5710010109697774,-0.23903221108274977,-0.3761767126907469,-0.3110608225607564,0.05
R-CROSS,7272,2,0,11.071575558483525,-0.06845157993508089,-0.1252313540228034,0.009077937081061194,0.0059695494498051005,-0.013007929423001148,0.08547035830867038,0.14068310636019313,-0.14445247792958096,-0.05509245937566293,0.12590535450505083,0.1414906446558881,-0.2672369198266109,-0.07013889464714046,-0.05544365051207974,0.27
R-CROSS,7272,3,1,,,,,,,,,,,,,,,,
R-CROSS,7272,4,0,11.361464190919635,0.13587479024820048,-0.02026670598204028,-0.05559387656978387,0.020293327578034592,0.08003861934122489,0.27424489009442693,0.5745901230291489,-0.23960481013644408,0.06113502579349156,0.3925379063087539,0.7984274672482119,-0.3848210357517078,-0.08140173177553184,0.055836170906975596,0.48
R-CROSS,7373,0,0,11.383568467187144,0.16628894338108502,-0.19373295457999973,-0.14433717413276348,-0.09783209711011942,0.0412443217262858,0.25538702439005934,0.477800804046776,-0.2724547402879092,0.07511452992908169,0.37575197179266356,0.7822291221455542,-0.4691340353122005,-0.2688474845090814,0.1250446216547992,0.23
R-CROSS,7373,1,0,10.886014139128061,0.12616514212761487,0.24394712306892963,0.01932382212003958,-0.02823884757902384,0.06911778309583144,0.13608754745642507,0.3161652062938553,-0.09017393910762576,0.12819332958297414,0.1975840827805443,0.5746171723513648,-0.0807310819877486,0.11575379348595549,0.05704735903178343,0.79
R-CROSS,7373,2,0,12.100741475931187,0.06596376390198344,-0.04982728085125743,0.059469474530610356,0.09171355229308276,-0.007876251134159719,0.10952101893866613,0.16074651570603174,-0.19437437471050786,-0.010805926569308148,0.168120900818698,0.313031912446715,-0.2531684362887992,-0.03902135428194928,0.07384001503614315,0.45
R-CROSS,7373,3,0,11.23247499764367,0.27586708873686305,0.16267209620498768,0.04501517848754588,0.01893565578169465,0.028922664373481694,0.10710015651287337,0.24790057248234823,-0.10880454144346156,0.06940209951574715,0.1261091332797784,0.2787210326908693,-0.10920419083161867,0.09326999668924053,0.24694442436338135,0.76
R-CROSS,7373,4,0,10.43584568743994,0.12238981779600344,0.3257997452836996,0.07687582599202969,0.1496098836512072,0.0205785575644747,0.17787537048272115,0.3175500689569313,-0.2573662634042601,0.09643000002262131,0.23564706568452767,0.5110648234353525,-0.28174970752806044,0.22936974526107828,0.10181126023152874,0.85
R-CROSS,7474,0,0,11.701871488642425,-0.004354151609497592,0.156425179322639,0.02687599600409918,0.039102092014145384,0.009662268308043452,0.07050815296741322,0.1629419460733308,-0.092232648390054,0.052780601485965285,0.09399840426714537,0.2411230035558229,-0.06966205144757742,0.10364457783667372,-0.014016419917541044,0.86
R-CROSS,7474,1,1,,,,,,,,,,,,,,,,
R-CROSS,7474,2,0,11.295647100135367,0.1473976301590607,0.2534576762094076,-0.005678455106261637,0.058988797113673996,0.05713798868421842,0.15490094621969092,0.3344847602581802,-0.1405069450431589,0.11197918144332317,0.22275472898732077,0.5048435772322525,-0.15360828092170217,0.14147849476608446,0.09025964147484229,0.77
R-CROSS,7474,3,0,10.211480888957214,-0.0658108827407009,-0.17843695130941484,-0.0763713548345919,-0.002306942166848458,-0.08730021361748186,0.10495858580344893,0.07239531419817168,-0.2514895249001673,-0.15582257308877098,0.11746464918784881,0.022726232784782037,-0.3165198398983889,-0.022614378220643855,0.021489330876780954,0.39
R-CROSS,7474,4,0,12.06504256207613,0.19225992785327684,0.17883184288101361,-0.14886174251986972,-0.04674301528337921,0.009371087489946462,0.11563633345612001,0.19445789769562424,-0.13255562634578605,0.04110998243192169,0.14679405357635675,0.2666365348019159,-0.18015910779342362,0.13772186044909193,0.18288884036333036,0.84
R-CROSS,7575,0,0,11.079029895897987,0.15718147167909713,-0.1309269081907889,0.035144922394193756,0.016229959934843663,0.03515148013530437,0.10025123012344142,0.20483167941651365,-0.1443002612370959,0.07011270999822486,0.142613902388817,0.31259344965933555,-0.15445091872655237,-0.20103961818901375,0.12202999154379277,0.06
R-CROSS,7575,1,0,10.297907179862698,0.046310816363970275,-0.04930234503388853,-0.14152371327629965,-0.23213460907729733,-0.0652202004617798,0.07827769400055809,0.06846500766408176,-0.19642151644514225,-0.1131176535783388,0.10307383113410898,0.05338666218773404,-0.280638833159515,0.06381530854445028,0.11153101682575008,0.74
R-CROSS,7575,2,0,11.7858358841304,-0.03372972522580042,-0.04819629016654048,-0.011064806375479463,-0.025440451655230234,-0.018663383101286277,0.05549076895689943,0.07805843992109116,-0.10339847370364356,-0.02226413074403082,0.08687459573197566,0.14341428725479197,-0.13984192695090022,-0.02593215942250966,-0.015066342124514145,0.39
R-CROSS,7575,3,1,,,,,,,,,,,,,,,,
R-CROSS,7575,4,0,11.057886591258404,-0.22432915872523473,-0.42776747615041266,-0.20712646231911513,-0.21217928324842994,-0.009594919594276892,0.269227601240422,0.49491534289754335,-0.35526404819776386,-0.029395913070862357,0.40903945155916105,0.8328738865850641,-0.5154989146112341,-0.3983715630795503,-0.21473423913095785,0.17
R-SHUFFLED,7171,0,1,,,,,,,,,,,,,,,,
R-SHUFFLED,7171,1,0,10.901530119819382,-0.18175246814715607,-0.21186110074920883,-0.07655273704077814,0.1480402714555975,-0.020863403325050756,0.15059016306212797,0.25751121966880464,-0.251712278772714,0.014077325251798438,0.18350565099485802,0.2859790218048427,-0.26392008278928597,-0.22593842600100728,-0.1608890648221053,0.1
R-SHUFFLED,7171,2,0,11.322068433244677,0.28432656245519006,0.3026011386181846,0.05242851725224895,0.1450841863775345,0.07629930925403246,0.09958339607039067,0.2535586949578504,-0.053136921399614144,0.12032639413308063,0.1347105751967808,0.35670603626911895,-0.05840857218267787,0.18227474448510397,0.2080272532011576,0.89
R-SHUFFLED,7171,3,0,10.499833698368898,-0.10104441028195055,0.061748965701049485,-0.0974411255620371,-0.13626109313800505,0.026805816670263417,0.20846737656900882,0.4689927742370199,-0.22577942518421307,0.07357213014338992,0.2919586653928809,0.6379157506615173,-0.29990379807181056,-0.01182316444234044,-0.12785022695221396,0.62
R-SHUFFLED,7171,4,0,12.168070886841441,-0.009234456479642716,-0.16103446789628073,0.1769732121101093,0.055572723009888136,-0.056346949354173434,0.20864046874496686,0.3142503740368704,-0.34469844857669996,-0.00031710013162568275,0.38662153323046905,0.6836516165515608,-0.4701199131309536,-0.16071736776465506,0.04711249287453072,0.4
R-SHUFFLED,7272,0,0,12.22357848012504,0.08597378198899541,0.0025365262586376502,-0.0024747112936722715,-0.06646318590611955,0.01635618940377599,0.09023000673932677,0.16531596162477794,-0.1209194031730287,0.02085308967898527,0.12202602911980422,0.2349773671154488,-0.1481103864892143,-0.01831656342034762,0.06961759258521942,0.49
R-SHUFFLED,7272,1,0,10.580625365863764,-0.2523613951466679,-0.13443670209280434,0.08382349602776884,0.32022528894182933,0.040483060530280515,0.1434270509924025,0.29337707755072684,-0.15489614848052033,0.12297133456998399,0.22317247314034,0.5837326583307891,-0.18345156100358925,-0.25740803666278833,-0.2928444556769484,0.09
R-SHUFFLED,7272,2,1,,,,,,,,,,,,,,,,
R-SHUFFLED,7272,3,0,11.865673430898763,-0.08784808732885807,-0.6518942742231033,-0.017511935711125304,0.0256062997999571,0.0043475170139479855,0.1995489582146967,0.26139022342368956,-0.30135593372817,-0.024652491855476057,0.29436507812091817,0.4261562007448397,-0.5034077777525505,-0.6272417823676273,-0.09219560434280606,0.01
R-SHUFFLED,7272,4,0,11.096451861204589,0.07710441138036472,-0.32297196742686296,0.09990277653957769,0.030534000003360262,0.02114490788090617,0.11567544914944,0.1637054892071874,-0.1161353062633923,0.015574961262620484,0.16201644512031002,0.2740817321168674,-0.2520985801127793,-0.33854692868948344,0.05595950349945855,0.01
R-SHUFFLED,7373,0,1,,,,,,,,,,,,,,,,
R-SHUFFLED,7373,1,1,,,,,,,,,,,,,,,,
R-SHUFFLED,7373,2,0,12.133603952024849,-0.3538268404612932,-0.45393925826523684,0.054647388528410445,0.07698359771663377,-0.013262543477034967,0.13064571663353614,0.1589452115648169,-0.23971625712173558,-0.005610421816605289,0.16060738330704796,0.2272203256716551,-0.24926140037858033,-0.44832883644863153,-0.3405642969842582,0.01
R-SHUFFLED,7373,3,0,11.274842957544204,-0.04382513962417178,0.1044823163539359,-0.15480181855514452,-0.027738733019880613,0.03675841786596759,0.12653898908235992,0.25833607559835015,-0.1284018806237084,0.07920873158962834,0.1514061490785059,0.33709785254453006,-0.11509245787355508,0.025273584764307563,-0.08058355749013937,0.61
R-SHUFFLED,7373,4,0,10.409968619194142,-0.07722328742366713,-0.0028176589730986024,-0.04349589666855991,-0.24102655423031294,0.015665421406763844,0.16439369557579836,0.2815429933504731,-0.22835368692141794,0.09029064398837951,0.24435991020730688,0.4464914789909712,-0.31955717918673143,-0.09310830296147811,-0.09288870883043097,0.36
R-SHUFFLED,7474,0,0,12.025411924753122,0.15354963006471678,-0.2516575238656422,-0.03155828740948152,-0.006108726549882704,0.0018356640946008795,0.0827861811641608,0.14808643526511583,-0.12365184327033596,0.02220871248799014,0.11716045926135728,0.2656801006357424,-0.1394686849578985,-0.2738662363536324,0.1517139659701159,0.0
R-SHUFFLED,7474,1,1,,,,,,,,,,,,,,,,
R-SHUFFLED,7474,2,0,11.69534948667811,0.1362445709270883,-0.14296172827726394,0.1407256060413431,0.35869891883649174,0.04181443151535133,0.21110315081744876,0.3798719831168645,-0.2111702531962348,0.11750787554742664,0.31431354652591936,0.7278438542611603,-0.22826402079831834,-0.2604696038246906,0.09443013941173697,0.18
R-SHUFFLED,7474,3,0,10.296762624690007,-0.1288414677088081,-0.30971950546819826,-0.12528503473572172,-0.12973793625111085,-0.0903312189953529,0.09311413219575208,0.047251848900618725,-0.24210470874842382,-0.1753555460906928,0.11385853577360454,0.0041036870576980815,-0.35680791248294835,-0.13436395937750548,-0.03851024871345521,0.15
R-SHUFFLED,7474,4,0,12.035722299583462,0.02154693035906341,0.2189860208234382,0.09804471179508845,0.0032630990172179963,0.012933048771189792,0.0980546635079711,0.17623349520918072,-0.11592564564633508,0.04608281157042622,0.1297536185517457,0.2524941866442863,-0.17827974756287696,0.172903209253012,0.008613881587873618,0.91
R-SHUFFLED,7575,0,1,,,,,,,,,,,,,,,,
R-SHUFFLED,7575,1,0,10.306420139916206,-0.03799283972714029,-0.20631697768342327,0.07947402173252094,0.0009303598763725773,-0.06391483138998826,0.07407018511045386,0.04818702818440525,-0.1912710685617748,-0.10116074374024576,0.10544383743636566,0.04979387378023809,-0.2616904443920383,-0.10515623394317751,0.025921991662847962,0.18
