seed,fold,model,modality,family,size,inner_r,inner_rmse,inner_mae,inner_lambda,selected,n_edges
7272,1,R-MATCHED/N-MATCHED,sc,direct_topk,100,0.05137522473168136,11.643446097733555,9.348370883475585,1000.0,0,100
7272,1,R-MATCHED/N-MATCHED,sc,direct_topk,300,-0.010546935442225836,19.25531240206274,14.476443472712322,10.0,0,300
7272,1,R-MATCHED/N-MATCHED,sc,direct_topk,600,0.0033562047471216404,21.965932777952712,16.853942240296576,0.001,0,600
7272,1,R-MATCHED/N-MATCHED,sc,direct_topk,1200,0.08024177310373742,11.92898746112425,9.514918227564758,1000.0,0,1200
7272,1,R-MATCHED/N-MATCHED,sc,roi_incident,5,0.11970033690140769,13.12416773609041,10.326793360946326,100.0,1,565
7272,1,R-MATCHED/N-MATCHED,sc,roi_incident,10,0.05607329680431113,12.008290462876186,9.627754659487275,1000.0,0,1105
7272,1,R-MATCHED/N-MATCHED,sc,roi_incident,15,0.0386692925993503,12.17929071010626,9.769553897161543,1000.0,0,1620
7272,2,R-MATCHED/N-MATCHED,fc,direct_topk,100,0.1698846674815713,11.633305404152571,9.349342933070947,100.0,0,100
7272,2,R-MATCHED/N-MATCHED,fc,direct_topk,300,0.1681642010896175,11.478465379415166,9.232105592220957,1000.0,0,300
7272,2,R-MATCHED/N-MATCHED,fc,direct_topk,600,0.19495255861770033,11.462566784685027,9.188637532624485,1000.0,0,600
7272,2,R-MATCHED/N-MATCHED,fc,direct_topk,1200,0.195666854696638,11.577599349816875,9.245465442990975,1000.0,0,1200
7272,2,R-MATCHED/N-MATCHED,fc,roi_incident,5,0.13381847347901762,12.47121036873041,9.848390489071885,100.0,0,565
7272,2,R-MATCHED/N-MATCHED,fc,roi_incident,10,0.20097160191023922,11.517268996337702,9.13668665687797,1000.0,1,1105
7272,2,R-MATCHED/N-MATCHED,fc,roi_incident,15,0.17877440308945025,11.719046660814007,9.291993318935909,1000.0,0,1620
7272,2,R-MATCHED/N-MATCHED,sc,direct_topk,100,0.07488723948673459,14.189247588636047,11.565575335608994,0.001,0,100
7272,2,R-MATCHED/N-MATCHED,sc,direct_topk,300,0.08947217657851227,11.680513011184422,9.45412592586219,1000.0,0,300
7272,2,R-MATCHED/N-MATCHED,sc,direct_topk,600,0.09188812539981717,11.813202418841335,9.530204090377579,1000.0,0,600
7272,2,R-MATCHED/N-MATCHED,sc,direct_topk,1200,0.1253355695425557,11.858037866711804,9.572726147627225,1000.0,1,1200
7272,2,R-MATCHED/N-MATCHED,sc,roi_incident,5,0.1164714418511715,17.657833225745094,13.77992147407173,0.001,0,565
7272,2,R-MATCHED/N-MATCHED,sc,roi_incident,10,0.07322941913001871,12.08390787990348,9.755533115616723,1000.0,0,1105
7272,2,R-MATCHED/N-MATCHED,sc,roi_incident,15,0.07158478017254921,12.173671686064246,9.794338013496171,1000.0,0,1620
