model,seed,fold,n,pearson,rmse,mae
R0,7272,0,102,0.21866446223438507,12.387037608236337,9.33555884016111
R-MATCHED,7272,0,102,0.21631489876952434,12.335128477232457,9.349559211204243
R-CROSS,7272,0,102,0.21986021025038643,12.35792668632899,9.33278126047847
R-SHUFFLED,7272,0,102,0.23063364729593375,12.22357848012504,9.28994833425413
R-RANDOM,7272,0,102,0.19515439157683803,12.394363845583088,9.473008715693558
N-MATCHED,7272,0,102,0.21716386830639667,12.3339288782017,9.351412852542492
N-CROSS,7272,0,102,0.21866446223438507,12.387037608236337,9.33555884016111
N-SHUFFLED,7272,0,102,0.23051145560215686,12.223190559935615,9.289255874270081
N-RANDOM,7272,0,102,0.21121908353733762,12.328141929635686,9.394703569922283
R0,7272,1,102,0.3377554687659713,10.551822779540416,8.62027165718012
R-MATCHED,7272,1,102,0.3252225543631664,10.596218843609822,8.708430382929345
R-CROSS,7272,1,102,0.33188457103946567,10.601168783832785,8.676003295699003
R-SHUFFLED,7272,1,102,0.33146070726873944,10.580625365863764,8.6308344872087
R-RANDOM,7272,1,102,0.30080797754406663,10.709238855567872,8.75816451106129
N-MATCHED,7272,1,102,0.25566306732780103,11.024893487328184,8.979694877515676
N-CROSS,7272,1,102,0.34791479260600194,10.535724457461816,8.585426510485176
N-SHUFFLED,7272,1,102,0.32837760936118,10.589117896226018,8.635511377591083
N-RANDOM,7272,1,102,0.31533648689170685,10.63718363687563,8.717227296291375
R0,7272,2,102,0.16790534309429933,11.09166354691613,9.250168800254635
R-MATCHED,7272,2,102,0.1917751233798185,10.919254288632125,9.141283768282813
R-CROSS,7272,2,102,0.168564965440776,11.071575558483525,9.241803063213347
R-SHUFFLED,7272,2,102,0.16790534309429933,11.09166354691613,9.250168800254635
R-RANDOM,7272,2,102,0.1792245119823132,11.037524271148738,9.207953084670521
N-MATCHED,7272,2,102,0.1867449126065821,10.873837117829924,9.102974225666765
N-CROSS,7272,2,102,0.17349004255421152,11.043498965632711,9.225667530573409
N-SHUFFLED,7272,2,102,0.16790534309429933,11.09166354691613,9.250168800254635
N-RANDOM,7272,2,102,0.17619617380657077,11.04537229332336,9.21729420900479
R0,7272,3,102,0.26836311639682,11.077392134705626,9.149128005060133
R-MATCHED,7272,3,102,0.27433519904344744,11.053691543052956,9.053369354764563
R-CROSS,7272,3,102,0.26836311639682,11.077392134705626,9.149128005060133
R-SHUFFLED,7272,3,102,0.16201600807726102,11.865673430898763,9.82221800825196
R-RANDOM,7272,3,102,0.28514938429177294,11.027760705003175,9.109616261203884
N-MATCHED,7272,3,102,0.26836311639682,11.077392134705626,9.149128005060133
N-CROSS,7272,3,102,0.26836311639682,11.077392134705626,9.149128005060133
N-SHUFFLED,7272,3,102,0.17620185519444165,11.641167182021759,9.659273889763595
N-RANDOM,7272,3,102,0.2834466384933814,11.030806318206354,9.093039444176071
R0,7272,4,102,0.2524675144950889,11.49273761288205,9.322142043287485
R-MATCHED,7272,4,102,0.2354456612847422,11.373344506783175,9.252932836645854
