seed,fold,model,arch,prior,fc_family,fc_size,sc_family,sc_size,n_fc_edges,n_sc_edges,lambda_r_fc,lambda_r_sc,ratio_fc,ratio_sc,v_fc,alpha,abstained,runtime_s
7474,2,R-SHUFFLED,ridge,shuffled,roi_incident,15,roi_incident,10,1620,1105,100.0,1000.0,0.0,0.0,0.4,0.5,0,4.806027889251709
7474,2,R-RANDOM,ridge,random,roi_incident,15,roi_incident,5,1620,565,1000.0,1000.0,0.0,0.0,0.5,0.5,0,5.494577169418335
7474,2,N-MATCHED,ncr,matched,direct_topk,1200,direct_topk,100,1200,100,1.0,10.0,0.1,0.1,0.7,0.6,0,21.93423056602478
7474,2,N-CROSS,ncr,cross,roi_incident,15,direct_topk,100,1620,100,1.0,10.0,1.0,1.0,0.75,0.65,0,29.75501775741577
7474,2,N-SHUFFLED,ncr,shuffled,roi_incident,15,roi_incident,10,1620,1105,100.0,10.0,0.0,0.1,0.15,0.7,0,33.82344126701355
7474,2,N-RANDOM,ncr,random,roi_incident,15,roi_incident,5,1620,565,0.1,10.0,1.0,0.1,0.4,0.55,0,43.331849813461304
7474,3,R-MATCHED,ridge,matched,roi_incident,15,roi_incident,15,1620,1620,1000.0,1000.0,0.0,0.0,1.0,0.2,0,3.170079469680786
7474,3,R-CROSS,ridge,cross,roi_incident,10,direct_topk,100,1105,100,1000.0,0.001,0.0,0.0,0.55,0.25,0,4.507456541061401
7474,3,R-SHUFFLED,ridge,shuffled,roi_incident,10,direct_topk,100,1105,100,100.0,1000.0,0.0,0.0,0.4,0.15,0,5.063287258148193
7474,3,R-RANDOM,ridge,random,roi_incident,15,roi_incident,5,1620,565,100.0,1000.0,0.0,0.0,0.5,0.4,0,5.18076229095459
7474,3,N-MATCHED,ncr,matched,roi_incident,15,roi_incident,15,1620,1620,0.1,10.0,1.0,0.1,1.0,0.15,0,26.323415756225586
7474,3,N-CROSS,ncr,cross,roi_incident,10,direct_topk,100,1105,100,1000.0,10.0,0.0,0.1,0.5,0.2,0,30.632753610610962
7474,3,N-SHUFFLED,ncr,shuffled,roi_incident,10,direct_topk,100,1105,100,0.1,1000.0,0.1,0.0,0.4,0.15,0,34.245359897613525
7474,3,N-RANDOM,ncr,random,roi_incident,15,roi_incident,5,1620,565,0.1,1.0,0.1,1.0,0.45,0.4,0,30.89721179008484
7474,4,R-MATCHED,ridge,matched,roi_incident,10,roi_incident,5,1105,565,1000.0,1000.0,0.0,0.0,0.95,0.05,0,3.422747850418091
7474,4,R-CROSS,ridge,cross,roi_incident,10,direct_topk,300,1105,300,1000.0,100.0,0.0,0.0,0.85,0.2,0,4.985859394073486
7474,4,R-SHUFFLED,ridge,shuffled,direct_topk,1200,direct_topk,100,1200,100,100.0,100.0,0.0,0.0,0.2,0.25,0,4.932452201843262
7474,4,R-RANDOM,ridge,random,roi_incident,10,roi_incident,5,1105,565,100.0,1000.0,0.0,0.0,0.25,0.45,0,4.938779592514038
7474,4,N-MATCHED,ncr,matched,roi_incident,10,roi_incident,5,1105,565,1000.0,1000.0,0.0,0.0,0.95,0.05,0,29.183367013931274
7474,4,N-CROSS,ncr,cross,roi_incident,10,direct_topk,300,1105,300,1000.0,100.0,0.0,0.0,0.9,0.35,0,35.878748655319214
7474,4,N-SHUFFLED,ncr,shuffled,direct_topk,1200,direct_topk,100,1200,100,0.01,0.1,1.0,0.1,0.15,0.3,0,19.6010525226593
7474,4,N-RANDOM,ncr,random,roi_incident,10,roi_incident,5,1105,565,100.0,1.0,0.0,0.3,0.25,0.5,0,24.9572114944458
7575,0,R-MATCHED,ridge,matched,roi_incident,10,roi_incident,10,1105,1105,1000.0,1000.0,0.0,0.0,0.85,0.05,0,3.863229274749756
7575,0,R-CROSS,ridge,cross,direct_topk,100,roi_incident,10,100,1105,10.0,1000.0,0.0,0.0,0.5,0.45,0,4.557388544082642
7575,0,R-SHUFFLED,ridge,shuffled,direct_topk,100,roi_incident,15,100,1620,10.0,1000.0,0.0,0.0,0.95,0.0,1,4.369004726409912
7575,0,R-RANDOM,ridge,random,direct_topk,1200,roi_incident,5,1200,565,1000.0,1000.0,0.0,0.0,0.8,0.05,0,4.5072808265686035
7575,0,N-MATCHED,ncr,matched,roi_incident,10,roi_incident,10,1105,1105,1.0,1.0,1.0,1.0,0.8,0.0,1,39.13112211227417
7575,0,N-CROSS,ncr,cross,direct_topk,100,roi_incident,10,100,1105,0.1,1.0,0.1,0.1,0.5,0.45,0,19.186848402023315
7575,0,N-SHUFFLED,ncr,shuffled,direct_topk,100,roi_incident,15,100,1620,10.0,1.0,0.0,1.0,0.9,0.0,1,20.27594017982483
7575,0,N-RANDOM,ncr,random,direct_topk,1200,roi_incident,5,1200,565,1000.0,1.0,0.0,1.0,0.2,0.25,0,30.129289865493774
7575,1,R-MATCHED,ridge,matched,roi_incident,10,roi_incident,5,1105,565,1000.0,1000.0,0.0,0.0,0.1,0.0,1,3.450965166091919
7575,1,R-CROSS,ridge,cross,roi_incident,15,direct_topk,300,1620,300,1000.0,1000.0,0.0,0.0,0.45,0.05,0,7.5670082569122314
7575,1,R-SHUFFLED,ridge,shuffled,direct_topk,100,roi_incident,15,100,1620,10.0,1000.0,0.0,0.0,0.45,0.15,0,5.073449373245239
7575,1,R-RANDOM,ridge,random,direct_topk,1200,roi_incident,5,1200,565,1000.0,0.001,0.0,0.0,0.35,0.2,0,5.37863302230835
7575,1,N-MATCHED,ncr,matched,roi_incident,10,roi_incident,5,1105,565,1.0,10.0,0.1,1.0,0.1,0.0,1,26.851117610931396
7575,1,N-CROSS,ncr,cross,roi_incident,15,direct_topk,300,1620,300,1.0,10.0,1.0,0.1,0.5,0.05,0,18.12962508201599
7575,1,N-SHUFFLED,ncr,shuffled,direct_topk,100,roi_incident,15,100,1620,10.0,10.0,0.0,0.1,0.55,0.05,0,34.2961699962616
7575,1,N-RANDOM,ncr,random,direct_topk,1200,roi_incident,5,1200,565,0.1,0.001,1.0,0.0,0.3,0.2,0,18.29859209060669
