task,seed,fold,model,pearson,rmse,mae,oof_r,eta
WM,2727,4,A6,0.22463224416861416,11.182649708974857,9.239335501333604,0.24457965542115045,0.25
WM,2828,0,A0,0.2437388036901072,11.113883534718552,8.890848967732678,0.2108060871862274,
WM,2828,0,A1,0.2437388036901072,11.113883534718552,8.890848967732678,0.2108060871862274,0.0
WM,2828,0,A2,0.2437388036901072,11.113883534718552,8.890848967732678,0.2108060871862274,0.0
WM,2828,0,A3,0.2437388036901072,11.113883534718552,8.890848967732678,0.2108060871862274,0.0
WM,2828,0,A4,0.2437388036901072,11.113883534718552,8.890848967732678,0.2108060871862274,0.0
WM,2828,0,A5,0.2437388036901072,11.113883534718552,8.890848967732678,0.2108060871862274,0.0
WM,2828,0,A6,0.2437388036901072,11.113883534718552,8.890848967732678,0.2108060871862274,0.0
WM,2828,1,A0,0.349528315778255,10.34372491112065,7.859415637204287,0.21633482531533235,
WM,2828,1,A1,0.30497809174999424,10.520223867893431,7.952587148046457,0.22728372160662785,0.15000000000000002
WM,2828,1,A2,0.30497809174999424,10.520223867893431,7.952587148046457,0.22728372160662785,0.15000000000000002
WM,2828,1,A3,0.349528315778255,10.34372491112065,7.859415637204287,0.21633482531533235,0.0
WM,2828,1,A4,0.349528315778255,10.34372491112065,7.859415637204287,0.21633482531533235,0.0
WM,2828,1,A5,0.3460649818644226,10.352900637560136,7.884054798550164,0.21640658786642322,0.05
WM,2828,1,A6,0.349528315778255,10.34372491112065,7.859415637204287,0.21633482531533235,0.0
WM,2828,2,A0,0.17699282759292428,11.392154392782922,9.943395529392788,0.25688380207316863,
WM,2828,2,A1,0.17662786886702642,11.331448313984705,9.897095413292798,0.2592624769668288,0.1
WM,2828,2,A2,0.17662786886702642,11.331448313984705,9.897095413292798,0.2592624769668288,0.1
WM,2828,2,A3,0.17699282759292428,11.392154392782922,9.943395529392788,0.25688380207316863,0.0
WM,2828,2,A4,0.17699282759292428,11.392154392782922,9.943395529392788,0.25688380207316863,0.0
WM,2828,2,A5,0.17699282759292428,11.392154392782922,9.943395529392788,0.25688380207316863,0.0
WM,2828,2,A6,0.17676913172274944,11.220272103221086,9.748963332918438,0.2594279597316208,0.25
WM,2828,3,A0,0.3015901724423145,11.150557332926722,8.971377432934734,0.3244854667755877,
WM,2828,3,A1,0.3015901724423145,11.150557332926722,8.971377432934734,0.3244854667755877,0.0
WM,2828,3,A2,0.3015901724423145,11.150557332926722,8.971377432934734,0.3244854667755877,0.0
WM,2828,3,A3,0.3015901724423145,11.150557332926722,8.971377432934734,0.3244854667755877,0.0
WM,2828,3,A4,0.3015901724423145,11.150557332926722,8.971377432934734,0.3244854667755877,0.0
WM,2828,3,A5,0.30211500277744396,11.098790524929111,8.971893560702211,0.3246973879598478,0.1
WM,2828,3,A6,0.3024245671931356,11.09708618809177,8.96973503689708,0.32480260309007525,0.1
WM,2828,4,A0,0.35971544474447004,11.07017065449002,9.327544458833344,0.1634980303199446,
WM,2828,4,A1,0.35971544474447004,11.07017065449002,9.327544458833344,0.1634980303199446,0.0
WM,2828,4,A2,0.35971544474447004,11.07017065449002,9.327544458833344,0.1634980303199446,0.0
WM,2828,4,A3,0.35971544474447004,11.07017065449002,9.327544458833344,0.1634980303199446,0.0
WM,2828,4,A4,0.35971544474447004,11.07017065449002,9.327544458833344,0.1634980303199446,0.0
WM,2828,4,A5,0.35971544474447004,11.07017065449002,9.327544458833344,0.1634980303199446,0.0
WM,2828,4,A6,0.3546099303531472,11.06233917236826,9.395550416409838,0.17106179330196153,0.30000000000000004
WM,2929,0,A0,0.18012109838952234,11.232721223087015,9.573544991991481,0.2732451139391331,
WM,2929,0,A1,0.18012109838952234,11.232721223087015,9.573544991991481,0.2732451139391331,0.0
WM,2929,0,A2,0.18012109838952234,11.232721223087015,9.573544991991481,0.2732451139391331,0.0
WM,2929,0,A3,0.18012109838952234,11.232721223087015,9.573544991991481,0.2732451139391331,0.0
WM,2929,0,A4,0.18012109838952234,11.232721223087015,9.573544991991481,0.2732451139391331,0.0
