task,control_prior,control_display,seed,fp_r_matched,fp_r_control,fp_delta_r,fused_r_matched,fused_r_control,fused_delta_r,fused_rmse_matched,fused_rmse_control,fused_mae_matched,fused_mae_control
fluid_intelligence,shuffled,Shuffled,0,0.21692381117798248,0.18739104777137272,-0.029532763406609774,0.3723431448993256,0.3707181971944184,-0.0016249477049071481,4.54174907823141,4.5441286390418885,3.769603864018346,3.7754340536722295
fluid_intelligence,shuffled,Shuffled,1,0.24434022958064866,0.2336879249558929,-0.010652304624755716,0.3438194451306792,0.34240389453190556,-0.0014155505987736461,4.645030622670528,4.640563966532201,3.849290010725935,3.8563439615798907
fluid_intelligence,shuffled,Shuffled,2,0.24447127652042872,0.22915026483810697,-0.01532101168232174,0.3964566940372961,0.39713879395110985,0.000682099913813805,4.5158433336066635,4.51545921496835,3.7301554072724734,3.732638494564296
fluid_intelligence,shuffled,Shuffled,3,0.20957890839287185,0.19001129133371103,-0.019567617059160828,0.34393099340023653,0.34330917490211244,-0.0006218184981240493,4.629744166256099,4.6279813380386,3.7912634211175087,3.791910165860815
fluid_intelligence,shuffled,Shuffled,4,0.23770049404420387,0.22934030519563114,-0.008360188848572744,0.35869657363698826,0.3623223319844505,0.00362575834746226,4.5819904762981,4.573674744782184,3.8044520137347524,3.805780537193916
fluid_intelligence,shuffled,Shuffled,5,0.22938938251564517,0.20465249954387849,-0.024736882971766662,0.3605802366582141,0.35537678715877663,-0.005203449499437418,4.580055606409138,4.584924241771975,3.7959931399212294,3.802565620927589
fluid_intelligence,shuffled,Shuffled,6,0.2131530680197724,0.21564538567356842,0.002492317653795978,0.3789107695634521,0.38285670603066757,0.003945936467215416,4.532700202424433,4.523730444131752,3.759108993181697,3.768775372625803
fluid_intelligence,shuffled,Shuffled,7,0.20557415088228223,0.2077757772429072,0.002201626360624953,0.37535963206509604,0.3779296523557243,0.002570020290628261,4.544622998134827,4.540223491826749,3.774394353936146,3.7651587316081154
fluid_intelligence,shuffled,Shuffled,8,0.1960446453226305,0.18359003636127458,-0.012454608961355928,0.3441559758794248,0.33907516613279737,-0.0050808097466275015,4.646597514711924,4.65527329088666,3.849254104858099,3.8648542749694714
fluid_intelligence,shuffled,Shuffled,9,0.24139234733908355,0.21731458307189527,-0.024077764267188263,0.4260603793225286,0.4267008836583866,0.0006405043358579055,4.4609989263849785,4.462660591957143,3.705810132726871,3.7103961497534357
working_memory,cross_task,Cross-task,0,0.2451484614108555,0.21325865000037733,-0.03188981141047818,0.25000675087035745,0.22177168058337565,-0.028235070286981793,11.553311330377571,11.693126598584607,9.41356684015292,9.548587873441694
working_memory,cross_task,Cross-task,1,0.26732469855210905,0.23746609813969272,-0.02985860041241626,0.2499177012865465,0.22665728379010855,-0.023260417496438,11.273126100184754,11.386343943777879,9.15361800274377,9.318598121896054
working_memory,cross_task,Cross-task,2,0.32136158708342377,0.2937006953621516,-0.027660891721272222,0.3182067445541613,0.2913823469427217,-0.02682439761143962,11.050381122096855,11.19136908505845,8.968189208421009,9.120352279031996
working_memory,cross_task,Cross-task,3,0.29164510232653995,0.26287958563861885,-0.028765516687921107,0.28905969554028343,0.2652712371487044,-0.023788458391579028,11.132660230484275,11.232959484200663,8.988817184237721,9.088121235173237
working_memory,cross_task,Cross-task,4,0.25128045571341157,0.22737540920044275,-0.023905046512968802,0.2654620756538201,0.24274511803196566,-0.022716957621854383,11.127503279739534,11.245454576348129,9.012953025501531,9.16779045829349
working_memory,cross_task,Cross-task,5,0.23829141573864,0.21666280084716827,-0.021628614891471748,0.176103700829968,0.15775304544793275,-0.018350655382035213,11.830505610936175,11.951702429783504,9.52490139305189,9.680979493411439
working_memory,cross_task,Cross-task,6,0.2750715925435632,0.24001698405575284,-0.035054608487810404,0.24975130925268818,0.22160301571986807,-0.028148293532820074,11.215377954783818,11.367781908368741,9.099429823370617,9.284815264434695
working_memory,cross_task,Cross-task,7,0.28168680496174164,0.2698318890705668,-0.011854915891174777,0.2652712193972536,0.2577507400480915,-0.007520479349162068,11.105972112814836,11.130258105857143,9.05495261295163,9.101194527119105
working_memory,cross_task,Cross-task,8,0.3234484376508557,0.2996633838621355,-0.02378505378872023,0.30446497094894365,0.28815053676428104,-0.016314434184662573,11.14334308648995,11.201412195868619,9.024141609565143,9.175512541691571
working_memory,cross_task,Cross-task,9,0.2865541112459148,0.2820281920704565,-0.0045259191754583265,0.2567533528795475,0.25105056191811415,-0.0057027909614333575,11.318852104087188,11.330732124659487,9.205503130509168,9.210529033622974
working_memory,random,Random,0,0.2451484614108555,0.24173243129004565,-0.003416030120809868,0.25000675087035745,0.24481991662911815,-0.005186834241239263,11.553311330377571,11.478194359878422,9.41356684015292,9.352848177880345
working_memory,random,Random,1,0.26732469855210905,0.2534936237404554,-0.013831074811653587,0.2499177012865465,0.24421993095777417,-0.0056977703287723865,11.273126100184754,11.257028512922158,9.15361800274377,9.228981784234568
working_memory,random,Random,2,0.32136158708342377,0.2968346925515036,-0.02452689453192023,0.3182067445541613,0.29941426397670884,-0.018792480577452492,11.050381122096855,11.127376794890443,8.968189208421009,9.050031111800584
working_memory,random,Random,3,0.29164510232653995,0.2819734749675965,-0.009671627358943424,0.28905969554028343,0.2818875367314799,-0.007172158808803486,11.132660230484275,11.141898055716581,8.988817184237721,9.071052293114352
working_memory,random,Random,4,0.25128045571341157,0.23088297094776178,-0.02039748476564978,0.2654620756538201,0.24840448133933296,-0.017057594314487085,11.127503279739534,11.21821413221112,9.012953025501531,9.180411578878937
working_memory,random,Random,5,0.23829141573864,0.2160824097573832,-0.022209005981256805,0.176103700829968,0.1547486700090892,-0.02135503082087878,11.830505610936175,11.979480662194273,9.52490139305189,9.701843805442293
working_memory,random,Random,6,0.2750715925435632,0.24964435810996788,-0.025427234433595347,0.24975130925268818,0.22566765146046083,-0.02408365779222733,11.215377954783818,11.370313551643687,9.099429823370617,9.280432895229833
working_memory,random,Random,7,0.28168680496174164,0.27859018091608573,-0.0030966240456558546,0.2652712193972536,0.262874874194467,-0.002396345202786593,11.105972112814836,11.12270140557872,9.05495261295163,9.115808180137456
working_memory,random,Random,8,0.3234484376508557,0.2926620179944751,-0.03078641965638059,0.30446497094894365,0.28234205269582524,-0.022122918253118358,11.14334308648995,11.2128999897383,9.024141609565143,9.177945506192426
working_memory,random,Random,9,0.2865541112459148,0.29591862542111114,0.009364514175196337,0.2567533528795475,0.26288303972093974,0.006129686841392206,11.318852104087188,11.280234669877423,9.205503130509168,9.242053442509963
working_memory,shuffled,Shuffled,0,0.2451484614108555,0.22012149667617636,-0.025026964734679136,0.25000675087035745,0.23217532584919898,-0.01783142502115844,11.553311330377571,11.607163158320638,9.41356684015292,9.404220730243921
working_memory,shuffled,Shuffled,1,0.26732469855210905,0.2734245843358045,0.00609988578369555,0.2499177012865465,0.2577426541031724,0.00782495281662584,11.273126100184754,11.182929727273052,9.15361800274377,9.158048234611636
working_memory,shuffled,Shuffled,2,0.32136158708342377,0.3076876047565641,-0.013673982326859735,0.3182067445541613,0.30412713062494146,-0.014079613929219859,11.050381122096855,11.061631838230493,8.968189208421009,8.982753884820088
working_memory,shuffled,Shuffled,3,0.29164510232653995,0.2725138673393336,-0.01913123498720638,0.28905969554028343,0.2762321053342347,-0.012827590206048725,11.132660230484275,11.151044197599887,8.988817184237721,9.070147946008436
working_memory,shuffled,Shuffled,4,0.25128045571341157,0.22049247583910794,-0.030787979874303616,0.2654620756538201,0.24333162447713358,-0.022130451176686484,11.127503279739534,11.188670909677235,9.012953025501531,9.1558815275769
working_memory,shuffled,Shuffled,5,0.23829141573864,0.22005605099746547,-0.01823536474117453,0.176103700829968,0.15696970890010825,-0.019133991929859713,11.830505610936175,11.881060892169723,9.52490139305189,9.608977976768978
working_memory,shuffled,Shuffled,6,0.2750715925435632,0.24034872308314323,-0.034722869460419976,0.24975130925268818,0.21891472516351557,-0.03083658408917262,11.215377954783818,11.360279030787883,9.099429823370617,9.234187342913572
working_memory,shuffled,Shuffled,7,0.28168680496174164,0.24776017879175996,-0.03392662616998167,0.2652712193972536,0.23854419032535956,-0.02672702907189401,11.105972112814836,11.188476321478884,9.05495261295163,9.189588210437208
working_memory,shuffled,Shuffled,8,0.3234484376508557,0.2793107725004562,-0.044137665150399505,0.30446497094894365,0.2700700017829617,-0.03439496916598191,11.14334308648995,11.279692122523256,9.024141609565143,9.233027616119287
working_memory,shuffled,Shuffled,9,0.2865541112459148,0.2660929321288517,-0.020461179117063116,0.2567533528795475,0.2449161672977176,-0.011837185581829912,11.318852104087188,11.37517079247217,9.205503130509168,9.294491291419408
