task,seed,outer_fold,control_prior,control_display,lambda_fc,lambda_l,fp_r_matched,fp_r_control,fp_delta_r,fp_rmse_matched,fp_rmse_control,fp_mae_matched,fp_mae_control,fused_r_matched,fused_r_control,fused_delta_r,fused_rmse_matched,fused_rmse_control,fused_mae_matched,fused_mae_control,w_fp,w_sc
working_memory,8,4,cross_task,Cross-task,1.0,0.5,0.3096602078328329,0.2551310520413771,-0.054529155791455786,11.093431087117185,11.296113914110757,8.804997098502696,8.995222205360218,0.21525590791020346,0.18959070447947401,-0.02566520343072945,11.380069230089905,11.465631171676337,9.277959194057821,9.360521782148746,0.55,0.45
working_memory,9,0,cross_task,Cross-task,1.0,0.03,0.4373605067274594,0.4321411988345658,-0.005219307892893599,11.363147618997843,11.373061752543997,9.230996533018645,9.234148156708422,0.4373605067274594,0.4321411988345658,-0.005219307892893599,11.363147618997843,11.373061752543997,9.230996533018645,9.234148156708422,1.0,0.0
working_memory,9,1,cross_task,Cross-task,0.1,0.03,0.21085566422773094,0.2066867283222188,-0.00416893590551215,12.18115081766909,12.302221058895642,9.414796522411963,9.523372257613763,0.18874000598958812,0.18838063486764903,-0.00035937112193909493,11.290229274956223,11.301904668355084,9.206281965944346,9.152612550103914,0.5,0.5
working_memory,9,2,cross_task,Cross-task,1.0,0.03,0.231379846146137,0.22396237629141819,-0.007417469854718806,11.04797566116241,11.079174459831382,8.876418555757796,8.960274328064601,0.27208070289110947,0.26737242869222333,-0.004708274198886142,10.937985655383773,10.95693767432693,8.804572464990718,8.859520129256278,0.75,0.25
working_memory,9,3,cross_task,Cross-task,0.1,5.0,0.12977954836489208,0.12325417710761111,-0.006525371257280976,11.850632961037666,11.830267726586797,9.701520727825198,9.6386902729277,0.16263400812814188,0.15679489916958683,-0.00583910895855505,11.472422490576776,11.462245570771172,9.363559100083839,9.333529467267411,0.9,0.1
working_memory,9,4,cross_task,Cross-task,0.01,0.1,0.4233949907633545,0.4240964797964684,0.0007014890331139001,11.245417209600731,10.832657579430828,8.768355722401047,8.569562042200312,0.22295154066143855,0.21056364802654565,-0.0123878926348929,11.530475480521325,11.55951095730025,9.422105588508295,9.472834864778847,0.25,0.75
working_memory,0,0,shuffled,Shuffled,0.001,5.0,0.11938329537113868,0.1531962561122036,0.033812960741064935,13.293919095892054,13.226432139957017,10.849595203512509,10.684457352742003,0.11782111889377792,0.1493923054518375,0.03157118655805957,11.525610959027235,11.466987703967495,9.32128025174092,9.247628530405722,0.7,0.3
working_memory,0,1,shuffled,Shuffled,1.0,0.03,0.10285093270285744,0.061264803392762315,-0.04158612931009513,11.170861805981449,11.22716977888636,8.906232226663366,8.793409970292123,0.15675934302987524,0.12944231657716437,-0.027317026452710863,10.918187145651823,10.944440841845548,8.742277880833678,8.677548324821688,0.8,0.2
working_memory,0,2,shuffled,Shuffled,0.1,0.5,0.2295511984439056,0.15593913668724033,-0.07361206175666526,12.465827554090408,12.763076292161077,9.596211671573899,9.961293257076427,0.27096062061485127,0.21630349911669408,-0.054657121498157185,11.814203452222825,11.960875895077212,9.165805768010012,9.282622102922861,0.65,0.35
working_memory,0,3,shuffled,Shuffled,1.0,0.03,0.4252858535434746,0.38814637749600245,-0.03713947604747214,10.494643293600866,10.66033633583669,8.847597841397263,9.091337157145723,0.3362522549116212,0.3016277621058721,-0.034624492805749085,10.802232991874833,10.918539182315913,9.178699292945886,9.293755690229327,0.55,0.45
working_memory,0,4,shuffled,Shuffled,0.1,2.0,0.3486710269929013,0.3420609096926732,-0.006610117300228091,12.88672782290869,12.920023297093385,10.804327453210128,10.632149522390563,0.3682404169016615,0.36411074599442683,-0.0041296709072346505,12.706322103111146,12.74497216839702,10.659771007234102,10.519549002840007,0.8,0.2
working_memory,1,0,shuffled,Shuffled,0.1,0.5,0.48669814245397225,0.49147870375922,0.0047805613052477325,9.864355397932576,9.796155544233091,8.228650636792509,8.251337329996634,0.47696875142429085,0.48413874435723464,0.007169992932943792,9.870964554803011,9.846710398413322,8.352281281570907,8.399970801960137,0.45,0.55
working_memory,1,1,shuffled,Shuffled,1.0,0.5,0.07451499086374411,0.0830249614807068,0.008509970616962695,11.983345683119378,11.880270405704126,9.773301344441665,9.678896702809924,0.04973310025977766,0.05463575471859084,0.004902654458813181,12.03536789233477,11.960757495972317,9.808964762688506,9.709321281343716,0.65,0.35
working_memory,1,2,shuffled,Shuffled,0.1,2.0,0.2411940403246028,0.22439112608864525,-0.016802914235957533,11.5144352215056,11.645614566460747,9.68413760815454,9.775798385870136,0.15974787333978707,0.15205959853835735,-0.007688274801429723,11.692718548124022,11.745248774252838,9.918994454752672,9.978923584807966,0.4,0.6
working_memory,1,3,shuffled,Shuffled,0.1,0.03,0.2884903282333578,0.31191575039979363,0.02342542216643584,11.951516553596349,11.685682410601096,9.570299085972367,9.517345571434438,0.29484334804447704,0.3178174659069407,0.022974117862463672,11.665858792588038,11.481473965402165,9.416891957879141,9.373952027509413,0.75,0.25
working_memory,1,4,shuffled,Shuffled,0.01,5.0,0.24572599088486802,0.25631237995065703,0.010586389065789015,12.037374796704135,11.661132947058617,8.743589213717954,8.736946344777397,0.2682954333644001,0.28006170699473837,0.011766273630338275,11.100720713073922,10.880458002324614,8.270957556827621,8.328073477436947,0.7,0.3
working_memory,2,0,shuffled,Shuffled,0.1,1.0,0.3835226334566685,0.35607142801316843,-0.02745120544350005,11.639320485159987,11.817414030087434,9.430522460955148,9.631707005968341,0.3892873679498099,0.3639571996578138,-0.02533016829199608,11.447515972486418,11.570589235200787,9.397646231013068,9.47357750152408,0.75,0.25
working_memory,2,1,shuffled,Shuffled,0.1,5.0,0.3975587132607836,0.3694743628712902,-0.028084350389493418,10.487049678742755,10.515150442152603,8.465950095966663,8.532585349642893,0.40470106988040855,0.37934943860457815,-0.0253516312758304,10.31715972099692,10.360111371825653,8.311726961512989,8.50564074460237,0.9,0.1
working_memory,2,2,shuffled,Shuffled,0.1,0.1,0.2355338913646014,0.21049100709777585,-0.02504288426682555,12.332928166751277,12.287174019795646,9.58084867206193,9.331941407327783,0.2518756975571505,0.22939923482348773,-0.022476462733662772,11.66285752951705,11.674323841604123,9.068575060689023,8.964769329653606,0.75,0.25
working_memory,2,3,shuffled,Shuffled,1.0,0.5,0.35206433475188026,0.30781588735201915,-0.04424844739986111,10.754400836870403,10.912999088051276,9.275357625539467,9.340320722882788,0.3803242279842638,0.34589210852859353,-0.03443211945567026,10.684102485650444,10.80661630174135,9.22964498692933,9.294565289967423,0.8,0.2
working_memory,2,4,shuffled,Shuffled,0.1,5.0,0.2381283625831852,0.29458533844856666,0.056456975865381454,11.258590662092123,10.806467837623448,9.167015987518372,8.953665742409353,0.16484535939917394,0.20203767151023416,0.03719231211106022,11.140269901833438,10.896518440780563,8.833352801960638,8.675216558352965,0.45,0.55
working_memory,3,0,shuffled,Shuffled,1.0,1.0,0.28786924237713213,0.24203659614629147,-0.04583264623084066,9.401158424735348,9.563944851365768,8.078312932693036,8.310364956901456,0.25598679359290116,0.23300133107324375,-0.022985462519657412,9.528709540586958,9.612202210421724,7.956023299504038,8.051508757486596,0.55,0.45
working_memory,3,1,shuffled,Shuffled,0.1,0.1,0.16559510211225414,0.15997484974630446,-0.0056202523659496795,13.11010256717347,13.066087298623955,10.98379769972166,11.161343705242805,0.19831712599101775,0.1963531842352437,-0.0019639417557740513,12.50851422269767,12.486246412364475,10.5288404719234,10.760444682983913,0.65,0.35
working_memory,3,2,shuffled,Shuffled,0.1,0.03,0.1594726137621964,0.14954111287796287,-0.00993150088423353,12.921798373126101,12.775902232171724,10.31855231948935,10.149866152429176,0.13128308877843664,0.12279381067195998,-0.008489278106476664,12.38447684083444,12.319990850680743,9.710276499203633,9.593051122609053,0.6,0.4
working_memory,3,3,shuffled,Shuffled,1.0,5.0,0.4771503642956984,0.47644240541172556,-0.0007079588839728479,10.79108799681166,10.800107660570982,8.79314223268185,8.820902944796325,0.4771503642956984,0.47644240541172556,-0.0007079588839728479,10.79108799681166,10.800107660570982,8.79314223268185,8.820902944796325,1.0,0.0
working_memory,3,4,shuffled,Shuffled,0.1,0.5,0.36813818908541873,0.33457437251438354,-0.03356381657103519,11.046609628664434,11.047139797281801,8.607777652341538,8.628209205241877,0.38256110504336316,0.3525697952790005,-0.02999130976436265,10.450512551490645,10.536673853961512,7.955803417875678,8.124832222166287,0.75,0.25
